x,y,cell_type
0.56426,18.34821,B cells
1.75415,21.30178,B cells
1.75673,21.02065,B cells
-0.27381,19.91703,B cells
0.58266,20.20968,B cells
1.94162,18.59104,B cells
-0.48456,19.54361,B cells
1.30453,21.23698,B cells
2.51278,20.0789,B cells
2.36215,18.45569,B cells
0.11714,20.3153,B cells
3.41112,20.91958,B cells
1.06096,19.12611,B cells
1.55973,20.56378,B cells
0.94125,20.10264,B cells
2.5968,19.11483,B cells
2.41667,18.40323,B cells
2.98004,18.9965,B cells
1.26586,18.48605,B cells
1.72224,18.41225,B cells
3.00447,18.69559,B cells
2.9068,21.31316,B cells
3.3847,20.75174,B cells
1.54478,18.95281,B cells
1.75146,19.47414,B cells
0.58759,19.33047,B cells
1.01415,19.02593,B cells
0.66844,18.16446,B cells
-0.10574,17.833,B cells
2.46095,19.15335,B cells
3.03406,19.25779,B cells
1.94259,18.88325,B cells
-0.4515,16.86083,B cells
3.04571,18.81842,B cells
1.12902,18.83052,B cells
0.4746,18.03646,B cells
3.64515,20.07947,B cells
1.68036,18.60743,B cells
3.92607,18.89731,B cells
0.28409,18.46948,B cells
0.88307,18.76112,B cells
-0.27552,18.86215,B cells
2.45386,20.37006,B cells
-0.77022,17.57045,B cells
2.62826,18.72363,B cells
1.41624,18.23736,B cells
2.5594,19.57593,B cells
1.70164,18.51145,B cells
0.18117,19.03071,B cells
3.97344,20.07781,B cells
2.8832,20.0134,B cells
1.67409,20.77081,B cells
2.26507,18.54775,B cells
-0.38486,17.87072,B cells
3.00586,21.34362,B cells
2.78897,19.86856,B cells
-0.9645,18.14224,B cells
0.17682,17.89037,B cells
3.28844,19.14,B cells
1.74952,19.68402,B cells
0.24163,16.96544,B cells
2.64689,18.69048,B cells
1.12409,20.1833,B cells
0.48942,18.56597,B cells
2.01986,19.68774,B cells
-0.00374,18.41032,B cells
1.39564,19.13676,B cells
2.77235,18.58097,B cells
2.62522,18.03558,B cells
1.21361,20.26138,B cells
1.83709,19.29103,B cells
3.31698,20.81265,B cells
2.5599,18.49396,B cells
0.37987,18.42931,B cells
1.87232,20.1603,B cells
2.47265,21.12017,B cells
-0.40593,18.2307,B cells
1.82019,19.11586,B cells
0.95195,19.17723,B cells
4.0518,19.40919,B cells
1.4648,20.71683,B cells
2.63813,18.67219,B cells
3.89141,20.1686,B cells
0.56243,18.52492,B cells
1.59917,20.56846,B cells
2.23794,18.15423,B cells
2.5207,19.70686,B cells
3.99873,19.18217,B cells
1.77362,21.17034,B cells
2.02498,18.77701,B cells
2.48614,19.17228,B cells
-1.16043,17.803,B cells
1.2471,18.83621,B cells
1.73088,21.38515,B cells
2.51881,20.38174,B cells
-0.35848,18.34192,B cells
2.3303,18.80649,B cells
0.67149,18.73587,B cells
1.76684,18.64249,B cells
0.33724,18.45898,B cells
0.08329,20.74368,B cells
-1.42731,17.55695,B cells
1.06305,18.65775,B cells
-0.56176,18.22117,B cells
3.67001,20.81933,B cells
2.6766,18.33098,B cells
2.45176,17.99523,B cells
1.86339,19.50607,B cells
0.50866,19.33912,B cells
2.98585,19.0118,B cells
0.17156,17.31188,B cells
1.43227,18.8415,B cells
0.28374,20.50846,B cells
1.3134,18.61048,B cells
-0.92744,18.14038,B cells
1.13388,19.4277,B cells
0.22826,17.10637,B cells
2.47186,19.21035,B cells
3.34119,18.65417,B cells
2.49365,19.59748,B cells
1.16595,19.97073,B cells
-0.00656,17.93004,B cells
0.81411,19.62519,B cells
-0.52963,17.57734,B cells
1.74321,18.94137,B cells
1.98151,20.90597,B cells
-0.19926,17.9955,B cells
0.09012,18.26501,B cells
1.08145,18.22936,B cells
2.22305,18.68143,B cells
1.14299,20.67315,B cells
1.3602,17.82084,B cells
-1.37027,17.42947,B cells
2.49551,19.61612,B cells
1.58576,18.18891,B cells
1.80646,17.80134,B cells
2.55104,18.74923,B cells
3.43635,20.9229,B cells
1.09667,18.82073,B cells
4.099,19.39576,B cells
1.3739,18.67451,B cells
1.61498,20.25292,B cells
1.85119,19.15541,B cells
2.84314,19.317,B cells
-0.45995,20.04602,B cells
3.65631,18.82906,B cells
1.16055,17.36949,B cells
0.69909,17.63258,B cells
2.5676,19.05385,B cells
3.08799,20.25889,B cells
3.79478,20.6244,B cells
3.72365,18.82601,B cells
2.44844,19.30245,B cells
0.43806,18.99009,B cells
3.16936,20.86045,B cells
1.45248,21.01433,B cells
0.69989,18.63453,B cells
2.28827,19.50872,B cells
1.57216,19.39533,B cells
0.48794,18.81028,B cells
1.46694,17.99803,B cells
-0.41167,18.31666,B cells
3.02988,19.21451,B cells
1.20378,19.38549,B cells
1.60956,21.20365,B cells
0.94987,18.82831,B cells
2.9751,20.12241,B cells
1.26942,18.8277,B cells
3.10152,18.77711,B cells
0.75033,18.3792,B cells
2.55199,20.66106,B cells
1.31648,19.60689,B cells
0.30392,18.98003,B cells
0.97187,17.63222,B cells
1.8145,18.13131,B cells
0.5067,18.56803,B cells
2.31411,18.43042,B cells
3.37539,19.12726,B cells
-0.10117,19.43852,B cells
2.97711,19.49623,B cells
-0.59703,17.74467,B cells
0.13976,17.80688,B cells
2.20528,18.6687,B cells
0.24098,20.81769,B cells
2.69491,18.55043,B cells
1.12122,19.67538,B cells
0.30628,18.85197,B cells
2.59428,19.22349,B cells
2.79207,18.19007,B cells
0.97032,17.86105,B cells
0.06319,17.11626,B cells
2.6376,19.72911,B cells
1.30018,19.50254,B cells
0.25567,18.74043,B cells
2.49611,18.33955,B cells
2.96041,20.23479,B cells
2.39672,21.12695,B cells
1.92243,19.00127,B cells
1.05235,18.22526,B cells
1.24938,17.922,B cells
2.81511,20.00982,B cells
0.77709,18.42463,B cells
1.20804,21.18008,B cells
1.07952,17.82854,B cells
3.25636,18.50067,B cells
1.84619,21.26735,B cells
