order,sample,cell_type,proportion
0,P15-P1,B cells,0.03298045602605863
0,P15-P1,Dendritic cells,0.012825732899022802
0,P15-P1,Endothelial cells,0.046213355048859935
0,P15-P1,Epithelial cells,0.21304967426710097
0,P15-P1,Fibroblasts,0.017406351791530945
0,P15-P1,Hepatocytes,0.0008143322475570033
0,P15-P1,Mast cells,0.017915309446254073
0,P15-P1,Monocytes/Macrophages,0.06626628664495114
0,P15-P1,Neutrophils,0.27025651465798045
0,P15-P1,Pericytes,0.017202768729641695
0,P15-P1,Plasma cells,0.15034609120521172
0,P15-P1,T/NK cells,0.15472312703583063
1,P17-P1,B cells,0.20049130763416478
1,P17-P1,Dendritic cells,0.010959939531368102
1,P17-P1,Endothelial cells,0.02456538170823885
1,P17-P1,Epithelial cells,0.3148148148148148
1,P17-P1,Fibroblasts,0.016628873771730914
1,P17-P1,Hepatocytes,0.0007558578987150416
1,P17-P1,Mast cells,0.07690854119425548
1,P17-P1,Monocytes/Macrophages,0.07520786092214664
1,P17-P1,Neutrophils,0.030990173847316706
1,P17-P1,Pericytes,0.001889644746787604
1,P17-P1,Plasma cells,0.07464096749811036
1,P17-P1,T/NK cells,0.17214663643235073
2,P18-P1,B cells,0.07140172867343104
2,P18-P1,Dendritic cells,0.014656144306651634
2,P18-P1,Endothelial cells,0.07215332581736189
2,P18-P1,Epithelial cells,0.4009770762871101
2,P18-P1,Fibroblasts,0.10672679443818113
2,P18-P1,Hepatocytes,0.0003757985719654265
2,P18-P1,Mast cells,0.03983464862833521
2,P18-P1,Monocytes/Macrophages,0.07703870725291244
2,P18-P1,Neutrophils,0.012025554302893648
2,P18-P1,Pericytes,0.009019165727170236
2,P18-P1,Plasma cells,0.03795565576850808
2,P18-P1,T/NK cells,0.15783540022547915
3,P19-P1,B cells,0.09962154942119324
3,P19-P1,Dendritic cells,0.013579697239536954
3,P19-P1,Endothelial cells,0.027493321460373997
3,P19-P1,Epithelial cells,0.2646927871772039
3,P19-P1,Fibroblasts,0.0023374888691006235
3,P19-P1,Hepatocytes,0.0004452359750667854
3,P19-P1,Mast cells,0.018032056990204808
3,P19-P1,Monocytes/Macrophages,0.08392698130008905
3,P19-P1,Neutrophils,0.03862422083704364
3,P19-P1,Pericytes,0.00823686553873553
3,P19-P1,Plasma cells,0.1465939447907391
