sample,group,S-MP4,S-MP5
CA-0923,Post-R,0.5145336985588074,0.44581887125968933
CA-0929,Post-R,0.46765029430389404,0.2501335144042969
CA-1013,Post-R,0.4380773603916168,0.3062361776828766
CA-1208,Post-NR,0.48492559790611267,0.3708363175392151
G,Pre-NR,0.33281928300857544,0.23679517209529877
G0406,Pre-R,0.3614458441734314,0.2463109791278839
G0427,Pre-R,0.504166305065155,0.3469627797603607
G0511,Post-NR,0.34364476799964905,0.3747292459011078
G0626,Post-NR,0.4307512640953064,0.33146798610687256
G0807,Pre-NR,0.5391247868537903,0.4690474271774292
G0830,Pre-NR,0.6296667456626892,0.4402279257774353
G20240104,Post-NR,0.5747516751289368,0.5347945094108582
GC,Post-R,0.7232474684715271,0.35191085934638977
G_0517,Pre-R,0.3363202214241028,0.30432334542274475
G_0607,Pre-R,0.3644702732563019,0.262901246547699
T,Pre-NR,0.47780099511146545,0.27472782135009766
T0916,Post-R,0.5429477095603943,0.31414636969566345
T_0528,Post-NR,0.44023391604423523,0.28034090995788574
T_0707,Post-NR,0.8414304256439209,0.31087470054626465
