Gene,Category,Merged_Log2FC,Merged_P_Value
PDCD1,Inhibitory,-2.053672159777559,0.6857142857142857
CD274,Inhibitory,0.2555249697942349,0.6857142857142857
CTLA4,Inhibitory,-1.318923440956364,0.4857142857142857
LAG3,Inhibitory,-1.2954020214232531,0.2
HAVCR2,Inhibitory,-0.9340300639123141,0.8857142857142857
TIGIT,Inhibitory,-1.1686755350642073,0.4857142857142857
CD276,Inhibitory,-0.40359682753375514,0.6857142857142857
CD47,Inhibitory,0.16310153802496538,0.8857142857142857
IDO1,Inhibitory,1.065419297418695,0.6857142857142857
VSIR,Inhibitory,-0.385883937648616,0.6857142857142857
BTLA,Inhibitory,-1.1001277038298887,0.30052231149547204
SIGLEC15,Inhibitory,-0.8350732146140768,0.34285714285714286
KLRC1,Inhibitory,-1.103699596996137,0.7715034091403082
CD96,Inhibitory,-0.5571659397148483,0.6857142857142857
PVRIG,Inhibitory,0.0,1.0
VTCN1,Inhibitory,-2.3664191856121866,0.4857142857142857
NT5E,Inhibitory,0.3061309447555899,0.6857142857142857
ENTPD1,Inhibitory,-0.6342653305929682,1.0
ADORA2A,Inhibitory,-0.5990503107417692,1.0
CEACAM1,Inhibitory,-0.1343267124036572,0.8857142857142857
CEACAM5,Inhibitory,1.6381175815936901,0.11428571428571428
CEACAM6,Inhibitory,1.6637362287905175,0.05714285714285714
ICOS,Costimulatory,-1.0682546625075895,0.4857142857142857
CD27,Costimulatory,-0.5576862524529618,0.4857142857142857
CD70,Costimulatory,0.8067524643334175,0.4857142857142857
CD40,Costimulatory,-1.1440193999400874,0.4857142857142857
TNFRSF9,Costimulatory,-0.7836761643373547,0.4857142857142857
TNFRSF4,Costimulatory,-1.2664300436457765,0.34285714285714286
TNFRSF18,Costimulatory,-0.8545757869278844,0.2
