,C0_CD4_Treg_FOXP3,C0_CD8_Cytotoxic_CCL,C0_Mac_Classic_TREM2,C0_Mast,C0_NK_FGFBP2,C0_Neu_S100A12,C1_B_Memory_NR4A1,C1_CD4_Tem_IL7R,C1_CD8_Cytotoxic_DUSP1,C1_DC_Conventional_S100A4_high,C1_Mast,C1_Mono_Classic_CD14,C1_NK_CD69,C1_Neu_MMP9,C2_B_Memory_IGHA1,C2_CD4_Tcm_CCR7,C2_CD8_MAIT_KLRB1,C2_DC_Activated_IL1B_high,C2_Mast,C2_MoMac_Intermediate_HLA-DRA,C2_NKT_CD3D,C2_Neu_TAGLN2,C3_B_Naive_NR4A1,C3_CD4_GZMB,C3_CD8_Tcm_CCR7,C3_DC_CCR7+,C3_Mac_Inflam_IL1B,C3_Mast,C3_Neu_CXCL8,C3_Prolif_MKI67,C4_B_Naive_TCL1A,C4_CD4_Tfh_PDCD1,C4_CD8_Temra_KLRG1,C4_DC_C1Q+_STMN1-,C4_Mast,C4_Mono_Alternative_CD16,C4_Neu_IFIT3,C5_B_Aged,C5_CD4_Prolif_MKI67,C5_CD8_Prolif_MKI67,C5_DC_WDFY4+,C5_Mac_Prolif_MKI67,C5_Neu_G0S2,C6_B_Germinal_Center,C6_CD4_GZMK,C6_CD8_Tex_PDCD1,C6_DC_C1Q+_STMN1+,C6_Mac_Metallothionein_MT1G,C6_Neu_CD74,C7_CD4_ISG,C7_CD8_ISG_ISG15,C7_DC_LTB+,C7_Neu_IGKC,C8_CD4_Temra_KLRG1,C9_CD4_Th17_IL17A,C0_Plasma
C0_CD4_Treg_FOXP3,1.0,0.4035923753665689,-0.14149560117302054,0.29603152905927393,0.3885630498533724,-0.2577767309612901,0.174646927259759,0.5960410557184751,0.32368035190615835,0.3680351906158358,0.23057184750733137,0.0344574780058651,0.33944281524926684,-0.29410240583869734,0.16678885630498533,0.7609970674486803,0.5626832844574781,0.28519061583577715,0.34726808348814986,-0.011363636363636364,0.2540322580645161,-0.26465683600262746,0.06049493486883436,0.8075513196480938,0.5827146940429918,0.5135630498533724,-0.09530791788856305,-0.09822697694775388,-0.18878299120234604,0.37405996290194177,0.04201065792277816,0.7587976539589443,0.4666422287390029,0.20535388252731143,0.36325448078792005,0.07331378299120235,-0.28326236407423994,0.1728124007129128,0.7008797653958945,0.5113636363636364,0.20271518342650596,0.2730938416422287,-0.3165612697742205,0.30052028977812767,0.6594574780058651,0.4842375366568915,0.3307664322136338,0.07900284150126753,-0.28363655477975414,0.681880673746439,0.5857771260997068,-0.003302147784323174,-0.37069236685583606,0.7099377081658481,0.748533724340176,-0.35373900293255134
C0_CD8_Cytotoxic_CCL,0.4035923753665689,1.0,0.005498533724340176,0.39244798991696933,0.6063049853372434,-0.15876068701081622,-0.2304165342838837,-0.004398826979472141,0.08980938416422288,0.6044721407624634,-0.15835777126099707,-0.014296187683284457,0.06708211143695014,-0.2479723869971603,0.03482404692082111,0.5366568914956011,0.37719941348973607,-0.16055718475073313,0.07224056224621492,0.04435483870967742,0.6605571847507331,-0.08451226695882222,-0.4194192900784534,0.5692815249266863,0.42709192737344165,0.14809384164222875,-0.28115835777126097,-0.39179590427839944,-0.06964809384164222,0.4736747543956909,-0.0502660273835861,0.06708211143695014,0.6414956011730205,0.028236158847505324,0.07413356750773878,0.2730938416422287,-0.1470569472670757,-0.30563212270457824,0.16202346041055718,0.29838709677419356,0.04843150083673989,-0.17228739002932553,-0.23939144083678746,-0.1593668203368859,0.7063782991202346,0.4809384164222874,0.12321232951638686,-0.1492072226961294,-0.3704487984590456,0.5460544427663016,0.7027126099706745,-0.059805565427186375,-0.11859949237203088,0.6024936232006656,0.1744868035190616,-0.07404692082111437
C0_Mac_Classic_TREM2,-0.14149560117302054,0.005498533724340176,1.0,0.2645037129613203,0.12463343108504399,-0.10124948855086052,-0.35699886601627207,-0.09457478005865103,-0.10960410557184751,0.3387096774193548,0.13636363636363635,0.28775659824046923,-0.22067448680351906,-0.13857834231580105,-0.31085043988269795,0.06524926686217009,0.09347507331378299,0.18475073313782991,0.4418775507953755,0.5832111436950147,-0.12756598240469208,-0.11082968342406949,-0.294935791883314,-0.11803519061583578,-0.15214004279826462,0.054252199413489736,0.2602639296187683,-0.23982209088753498,0.06488269794721407,-0.004402863712430899,-0.30398104881241667,-0.25439882697947214,-0.09457478005865103,0.25485883635085976,0.11713103666222728,0.3453079178885631,-0.24060462364562255,-0.3874520066939191,-0.013929618768328446,0.1030058651026393,0.27040921300513104,0.5707478005865103,-0.10796444000985285,-0.30810918598464604,-0.18914956011730205,-0.13709677419354838,0.22845619431163397,0.16827055336000835,-0.22226927907542737,-0.06195582465760656,-0.156524926686217,0.13355353261040392,-0.2881324101503448,-0.14558123457739758,-0.15029325513196481,-0.04582111436950147
C0_Mast,0.29603152905927393,0.39244798991696933,0.2645037129613203,1.0,0.3409403368732195,-0.052304621257440655,0.14558302365638187,0.07661992516828267,-0.22674365414632933,0.5902300455547134,0.3997800401723074,-0.12427825182798001,-0.36311978889561713,-0.13783783149597875,0.3830996258414133,0.5856475141451271,0.44395564296071915,0.061772523401223106,0.6219859041549808,0.017963523125578234,0.13949225610780647,-0.01149175614210452,-0.009378493786037256,0.2630373029102527,0.4770852428964253,0.18348455763983482,-0.2989643491614092,0.06561422055330644,0.04600861535224629,0.13686822387858963,0.24493174112321336,0.24763999737404277,0.2516726250144787,0.5125149180758171,0.5981273721059884,0.13839244856950578,-0.007110275036080658,0.12173199268558207,0.11767940659817577,-0.20163138202179648,0.03146501393455513,0.4093117055042469,-0.11897341888175986,0.19922678384426298,0.4054623791201944,-0.20896343227713454,0.4956450173735003,0.05087076076993584,-0.002806687514242365,0.39037580201649863,0.33819081802746775,0.5204111488359511,0.0366864609865575,0.1696158494526407,0.12152873298222824,-0.013014389203225046
C0_NK_FGFBP2,0.3885630498533724,0.6063049853372434,0.12463343108504399,0.3409403368732195,1.0,-0.2492151933264747,-0.4408367292071438,0.00036656891495601173,-0.11803519061583578,0.5439882697947214,-0.26502932551319647,0.36766862170087977,0.3053519061583578,-0.2400643837671825,-0.13563049853372433,0.5949413489736071,0.43218475073313783,0.125366568914956,0.40704073143806374,0.42302052785923755,0.39552785923753664,-0.20275530713366557,-0.528457272987933,0.36363636363636365,0.22546054535164517,0.39296187683284456,0.12939882697947214,-0.480756185287686,-0.039222873900293255,0.5087142114404535,-0.28838757316422386,0.05828445747800586,0.7390029325513197,-0.07260726560787083,0.01705072052677992,0.531891495601173,-0.32816524873594244,-0.4191893159543585,0.43914956011730205,0.3291788856304985,0.07393141983790218,0.12463343108504399,-0.28796627377840206,-0.20300297352436655,0.48167155425219943,0.1279325513196481,0.3505684137430531,0.2041975996111648,-0.41759682735383324,0.5993951083738859,0.5274926686217009,-0.019262528741885183,-0.46281383302387863,0.5181518500198055,0.42045454545454547,-0.29178885630498536
C0_Neu_S100A12,-0.2577767309612901,-0.15876068701081622,-0.10124948855086052,-0.052304621257440655,-0.2492151933264747,1.0,-0.13897322255967462,-0.3534426080111841,-0.40946484340421535,-0.016750834502899718,-0.22204161735510405,0.08524313558142302,-0.5109004523384414,0.8826706533303437,-0.04485501239109814,-0.17551152151371593,-0.2285558307728984,-0.30579578986960265,-0.31875496340674625,-0.017309195652996375,-0.31863809632182577,0.8764546443613148,0.05816335726088331,-0.2023128567183555,-0.03322553343221764,0.0344322709226272,0.040760363957055984,0.017502744669444337,0.817999084891603,-0.30924336387273443,0.1587200879635962,-0.15410767742667741,-0.310634919837107,-0.05511183946752155,0.1089687006839599,0.050252503508699156,0.8486864195436595,0.07665882182748808,-0.23078927537328503,-0.20175449556825883,-0.001862911830558641,-0.22725298808933952,0.9161684904950993,0.13678714038370346,-0.26205749977869786,0.03536287283945496,-0.19345000407687463,0.16296333064373414,0.8526762146657587,-0.24449153032615054,-0.2618713793953323,-0.14502768600899021,0.7213936782581787,0.02885924026170892,-0.23469780342396163,-0.33054980085722113
C1_B_Memory_NR4A1,0.174646927259759,-0.2304165342838837,-0.35699886601627207,0.14558302365638187,-0.4408367292071438,-0.13897322255967462,1.0,0.40983323056544285,0.30581557535926285,-0.22968272366514522,0.4555129415819134,-0.45991580529434434,-0.08493857911897942,-0.21531392541102504,0.7668320965817149,0.04366173181493975,-0.08108607337060239,-0.10897087688266476,-0.10222060642646935,-0.6703360002176044,0.0011007159281077247,-0.1689941410244136,0.8406206104333755,-0.012107875209184972,0.24383092430917644,-0.18492027592209775,-0.458631636711552,0.5802565017830579,-0.2727940975160311,-0.15451707675358062,0.7769922879177378,0.5301781720385541,-0.229315818355776,0.27436230988792043,0.17381724493949016,-0.37350960493788793,0.04831489816758362,0.8091259640102828,-0.10291693927807226,-0.30838391252484754,-0.0071612192434814545,-0.009172632734231039,-0.1812678353780785,0.7569274903383897,0.1049349184796031,-0.09227668530636426,-0.08827309100741788,0.034125321235144335,0.12322171703205437,-0.1523713940096095,-0.13685568039472712,0.30719794344473006,0.26805997134016674,-0.11323180280993105,-0.02329848714494684,0.3817649743986959
C1_CD4_Tem_IL7R,0.5960410557184751,-0.004398826979472141,-0.09457478005865103,0.07661992516828267,0.00036656891495601173,-0.3534426080111841,0.40983323056544285,1.0,0.7719941348973607,0.056085043988269793,0.5593841642228738,-0.17925219941348974,0.4468475073313783,-0.48502419810530367,0.09567448680351906,0.3181818181818182,0.375,0.47617302052785926,0.10451045807193529,-0.10960410557184751,0.07074780058651027,-0.4766788390747604,0.413719159437317,0.6132697947214076,0.218495097609074,-0.0010997067448680353,-0.17851906158357772,0.09526163424744434,-0.437316715542522,0.07594939903943301,0.1286003109339192,0.6616568914956011,0.1125366568914956,-0.018701871444451578,0.2961636021934164,-0.19648093841642228,-0.4033775805442941,0.35057802310231034,0.24596774193548387,0.17851906158357772,0.432031001782282,0.016495601173020527,-0.38676565096908233,0.31911308548409767,0.5205278592375366,0.18914956011730205,0.0440044033987096,-0.02162954825324726,-0.341261923428939,0.18110164130684994,0.14552785923753667,0.07099617736294825,-0.3835636295938859,0.3259992885121069,0.658724340175953,0.016495601173020527
C1_CD8_Cytotoxic_DUSP1,0.32368035190615835,0.08980938416422288,-0.10960410557184751,-0.22674365414632933,-0.11803519061583578,-0.40946484340421535,0.30581557535926285,0.7719941348973607,1.0,-0.14039589442815248,0.42008797653958946,-0.2254398826979472,0.5890762463343109,-0.5689996609760201,-0.10813782991202346,-0.016495601173020527,0.2250733137829912,0.30791788856304986,-0.17528420687152654,-0.18695014662756598,0.36107038123167157,-0.5104096122907815,0.2747095218663785,0.4274193548387097,0.11181376639390532,-0.15579178885630499,-0.23313782991202345,0.05004015806772368,-0.5571847507331378,0.14988081887733518,-0.009722990698284901,0.37280058651026393,0.1814516129032258,-0.11991199926148365,0.05004015806772368,-0.23240469208211142,-0.4059969154828934,0.12383054191211904,-0.030425219941348974,0.12463343108504399,0.3845167642189652,-0.22140762463343108,-0.4280084336553589,0.08954897523691684,0.36033724340175954,0.26466275659824046,-0.1408140908758707,-0.1792686287430154,-0.47971248446918835,-0.08010264903956824,0.047653958944281524,0.029535877404223948,-0.28647753351259553,0.17638431695649429,0.3412756598240469,0.29142228739002934
C1_DC_Conventional_S100A4_high,0.3680351906158358,0.6044721407624634,0.3387096774193548,0.5902300455547134,0.5439882697947214,-0.016750834502899718,-0.22968272366514522,0.056085043988269793,-0.14039589442815248,1.0,-0.10043988269794721,0.1975806451612903,-0.2723607038123167,-0.15251149086385712,0.1158357771260997,0.6165689149560117,0.29472140762463345,0.12316715542521994,0.3703703952724724,0.3196480938416422,0.10997067448680352,-0.06968555345727445,-0.23021172782912042,0.44501466275659823,0.4087618017350965,0.3530058651026393,-0.030791788856304986,-0.32692903270912804,0.0747800586510264,0.34122193771339465,0.08126952602528702,0.09750733137829912,0.38013196480938416,0.09974331437040841,0.22277137036075503,0.5263929618768328,-0.1788631572357816,-0.18418646530335928,0.24230205278592376,0.21700879765395895,0.24894525240703042,0.1528592375366569,-0.12574466187904762,-0.011383344309777563,0.5179618768328446,0.10667155425219942,0.22222223716348347,0.13051049454501737,-0.1739986780640972,0.48464852187784535,0.31085043988269795,0.15666856710066615,-0.21770821545501484,0.3920058936101713,0.13929618768328444,-0.39626099706744866
