minor_cell_state,module
C2_CD8_MAIT_KLRB1,1
C9_CD4_Th17_IL17A,1
C0_CD4_Treg_FOXP3,1
C3_CD4_GZMB,1
C6_CD4_GZMK,1
C8_CD4_Temra_KLRG1,1
C2_CD4_Tcm_CCR7,1
C3_CD8_Tcm_CCR7,1
C0_CD8_Cytotoxic_CCL,1
C2_NKT_CD3D,1
C3_Prolif_MKI67,1
C6_CD8_Tex_PDCD1,1
C5_CD4_Prolif_MKI67,1
C5_CD8_Prolif_MKI67,1
C1_DC_Conventional_S100A4_high,1
C3_DC_CCR7+,1
C7_CD4_ISG,1
C7_CD8_ISG_ISG15,1
C0_NK_FGFBP2,1
C4_CD8_Temra_KLRG1,1
C4_Mono_Alternative_CD16,2
C2_MoMac_Intermediate_HLA-DRA,2
C1_Mono_Classic_CD14,2
C3_Mac_Inflam_IL1B,2
C0_Mac_Classic_TREM2,2
C6_Mac_Metallothionein_MT1G,2
C4_CD4_Tfh_PDCD1,3
C1_CD4_Tem_IL7R,3
C1_CD8_Cytotoxic_DUSP1,3
C1_NK_CD69,3
C2_DC_Activated_IL1B_high,3
C5_DC_WDFY4+,3
C6_DC_C1Q+_STMN1+,3
C2_Mast,3
C5_Mac_Prolif_MKI67,3
C0_Mast,3
C4_Mast,3
C1_Mast,3
C4_DC_C1Q+_STMN1-,3
C7_DC_LTB+,3
C3_Neu_CXCL8,4
C0_Neu_S100A12,4
C2_Neu_TAGLN2,4
C1_Neu_MMP9,4
C5_Neu_G0S2,4
C7_Neu_IGKC,4
C4_Neu_IFIT3,4
C6_Neu_CD74,4
C0_Plasma,5
C6_B_Germinal_Center,5
C2_B_Memory_IGHA1,5
C4_B_Naive_TCL1A,5
C3_Mast,5
C3_B_Naive_NR4A1,5
C1_B_Memory_NR4A1,5
C5_B_Aged,5
