,C2_CD8_MAIT_KLRB1,C9_CD4_Th17_IL17A,C0_CD4_Treg_FOXP3,C3_CD4_GZMB,C6_CD4_GZMK,C8_CD4_Temra_KLRG1,C2_CD4_Tcm_CCR7,C3_CD8_Tcm_CCR7,C0_CD8_Cytotoxic_CCL,C2_NKT_CD3D,C3_Prolif_MKI67,C6_CD8_Tex_PDCD1,C5_CD4_Prolif_MKI67,C5_CD8_Prolif_MKI67,C1_DC_Conventional_S100A4_high,C3_DC_CCR7+,C7_CD4_ISG,C7_CD8_ISG_ISG15,C0_NK_FGFBP2,C4_CD8_Temra_KLRG1
C2_CD8_MAIT_KLRB1,1.0,0.5454545454545454,0.59375,0.6956521739130435,0.15,0.0,0.5416666666666666,0.2631578947368421,0.53125,0.68,0.05263157894736842,0.52,0.43478260869565216,0.3333333333333333,0.19047619047619047,0.15,0.10526315789473684,0.10526315789473684,0.5833333333333334,0.3157894736842105
C9_CD4_Th17_IL17A,0.5454545454545454,1.0,0.46875,0.6666666666666666,0.26666666666666666,0.0,0.5714285714285714,0.17647058823529413,0.45161290322580644,0.52,0.06666666666666667,0.4782608695652174,0.6111111111111112,0.4,0.23529411764705882,0.26666666666666666,0.0625,0.0625,0.5454545454545454,0.3125
C0_CD4_Treg_FOXP3,0.59375,0.46875,1.0,0.625,0.125,0.0,0.5625,0.15625,0.9375,0.71875,0.03125,0.59375,0.4375,0.40625,0.1875,0.125,0.0625,0.0625,0.59375,0.1875
C3_CD4_GZMB,0.6956521739130435,0.6666666666666666,0.625,1.0,0.2,0.0,0.7272727272727273,0.25,0.5625,0.6538461538461539,0.05,0.625,0.5454545454545454,0.375,0.23809523809523808,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.5,0.3
C6_CD4_GZMK,0.15,0.26666666666666666,0.125,0.2,1.0,0.0,0.2222222222222222,0.125,0.13333333333333333,0.17391304347826086,0.0,0.21052631578947367,0.125,0.13333333333333333,0.25,0.3333333333333333,0.2,0.2,0.21052631578947367,0.1111111111111111
C8_CD4_Temra_KLRG1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2_CD4_Tcm_CCR7,0.5416666666666666,0.5714285714285714,0.5625,0.7272727272727273,0.2222222222222222,0.0,1.0,0.2777777777777778,0.5483870967741935,0.5769230769230769,0.05555555555555555,0.5416666666666666,0.6,0.4090909090909091,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.5416666666666666,0.2631578947368421
C3_CD8_Tcm_CCR7,0.2631578947368421,0.17647058823529413,0.15625,0.25,0.125,0.0,0.2777777777777778,1.0,0.16666666666666666,0.21739130434782608,0.0,0.2,0.1875,0.125,0.375,0.125,0.16666666666666666,0.16666666666666666,0.2,0.375
C0_CD8_Cytotoxic_CCL,0.53125,0.45161290322580644,0.9375,0.5625,0.13333333333333333,0.0,0.5483870967741935,0.16666666666666666,1.0,0.65625,0.03333333333333333,0.5806451612903226,0.41935483870967744,0.3870967741935484,0.2,0.0967741935483871,0.06666666666666667,0.06666666666666667,0.5806451612903226,0.2
C2_NKT_CD3D,0.68,0.52,0.71875,0.6538461538461539,0.17391304347826086,0.0,0.5769230769230769,0.21739130434782608,0.65625,1.0,0.043478260869565216,0.5555555555555556,0.4230769230769231,0.38461538461538464,0.20833333333333334,0.17391304347826086,0.041666666666666664,0.041666666666666664,0.68,0.2608695652173913
