,C4_CD4_Tfh_PDCD1,C1_CD4_Tem_IL7R,C1_CD8_Cytotoxic_DUSP1,C1_NK_CD69,C2_DC_Activated_IL1B_high,C5_DC_WDFY4+,C6_DC_C1Q+_STMN1+,C2_Mast,C5_Mac_Prolif_MKI67,C0_Mast,C4_Mast,C1_Mast,C4_DC_C1Q+_STMN1-,C7_DC_LTB+
C4_CD4_Tfh_PDCD1,1.0,0.6086956521739131,0.4642857142857143,0.4166666666666667,0.2222222222222222,0.0,0.0,0.25,0.25,0.44,0.0,0.3076923076923077,0.06666666666666667,0.0
C1_CD4_Tem_IL7R,0.6086956521739131,1.0,0.7142857142857143,0.5769230769230769,0.2608695652173913,0.0,0.0,0.23076923076923078,0.28,0.5925925925925926,0.0,0.4642857142857143,0.045454545454545456,0.0
C1_CD8_Cytotoxic_DUSP1,0.4642857142857143,0.7142857142857143,1.0,0.6071428571428571,0.2222222222222222,0.0,0.0,0.2413793103448276,0.3333333333333333,0.5666666666666667,0.0,0.6071428571428571,0.038461538461538464,0.0
C1_NK_CD69,0.4166666666666667,0.5769230769230769,0.6071428571428571,1.0,0.3,0.0,0.0,0.20833333333333334,0.3181818181818182,0.3793103448275862,0.0,0.4074074074074074,0.05263157894736842,0.0
C2_DC_Activated_IL1B_high,0.2222222222222222,0.2608695652173913,0.2222222222222222,0.3,1.0,0.0,0.0,0.3076923076923077,0.3076923076923077,0.16666666666666666,0.0,0.23809523809523808,0.0,0.0
C5_DC_WDFY4+,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6_DC_C1Q+_STMN1+,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2_Mast,0.25,0.23076923076923078,0.2413793103448276,0.20833333333333334,0.3076923076923077,0.0,0.0,1.0,0.42857142857142855,0.34782608695652173,0.0,0.3181818181818182,0.0,0.0
C5_Mac_Prolif_MKI67,0.25,0.28,0.3333333333333333,0.3181818181818182,0.3076923076923077,0.0,0.0,0.42857142857142855,1.0,0.34782608695652173,0.0,0.3181818181818182,0.0,0.0
C0_Mast,0.44,0.5925925925925926,0.5666666666666667,0.3793103448275862,0.16666666666666666,0.0,0.0,0.34782608695652173,0.34782608695652173,1.0,0.0,0.48148148148148145,0.047619047619047616,0.0
C4_Mast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
C1_Mast,0.3076923076923077,0.4642857142857143,0.6071428571428571,0.4074074074074074,0.23809523809523808,0.0,0.0,0.3181818181818182,0.3181818181818182,0.48148148148148145,0.0,1.0,0.05263157894736842,0.0
C4_DC_C1Q+_STMN1-,0.06666666666666667,0.045454545454545456,0.038461538461538464,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.05263157894736842,1.0,0.0
C7_DC_LTB+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
