cell_state,gene,mean_scaled,fraction
Mac_TREM2,TREM2,1.0,0.7159707767029917
Mac_TREM2,C1QA,1.0,0.9229827353985551
Mac_TREM2,APOE,1.0,0.9301253010081221
Mac_TREM2,CD14,0.7350434064865112,0.8577200930574262
Mac_TREM2,S100A8,0.0,0.21399126566262602
Mac_TREM2,VCAN,0.0,0.08305783437410717
Mac_TREM2,HLA-DRA,0.9339426159858704,0.9896330762009714
Mac_TREM2,CST3,0.5379988551139832,0.9529406962981103
Mac_TREM2,CLEC10A,0.19846360385417938,0.12799477572343987
Mac_TREM2,IL1B,0.08596383780241013,0.4533284355740582
Mac_TREM2,TNF,0.41313666105270386,0.34925105097751113
Mac_TREM2,CXCL8,0.371935099363327,0.6420554263091303
Mac_TREM2,FCGR3A,0.4990060329437256,0.7556426268315579
Mac_TREM2,CDKN1C,0.0695694088935852,0.1262805599771438
Mac_TREM2,LST1,0.09342975914478302,0.6177298885759764
Mac_TREM2,MKI67,0.016382979229092598,0.02995796089955512
Mac_TREM2,TOP2A,0.023996267467737198,0.02934574099016367
Mac_TREM2,STMN1,0.23321744799613953,0.39635116934002695
Mac_TREM2,MT1G,0.0585196428000927,0.16807477245826702
Mac_TREM2,MT2A,0.0,0.491571772580711
Mac_TREM2,MT1X,0.06597805768251419,0.18264560630178361
Mono_CD14,TREM2,0.01066499948501587,0.025949092710720257
Mono_CD14,C1QA,0.0,0.06211680188270267
Mono_CD14,APOE,0.0,0.08020065646869387
Mono_CD14,CD14,1.0,0.9477302285254227
Mono_CD14,S100A8,1.0,0.9616647055180529
Mono_CD14,VCAN,1.0,0.93175202824054
Mono_CD14,HLA-DRA,0.0,0.9637703598191615
Mono_CD14,CST3,0.6372954845428467,0.9725645630767326
Mono_CD14,CLEC10A,0.005197075195610523,0.07561776181333994
Mono_CD14,IL1B,0.2029622346162796,0.46473029045643155
Mono_CD14,TNF,0.0,0.18207716603703475
Mono_CD14,CXCL8,0.2177097201347351,0.4434260234099213
Mono_CD14,FCGR3A,0.0,0.24629962222084598
Mono_CD14,CDKN1C,0.0,0.041431844924753825
Mono_CD14,LST1,0.5153917670249939,0.8902582523069301
Mono_CD14,MKI67,0.004577679093927145,0.015544683222889702
Mono_CD14,TOP2A,0.005416215397417545,0.010714064532111229
Mono_CD14,STMN1,0.0,0.039573914659069793
Mono_CD14,MT1G,0.0,0.03468136495943519
Mono_CD14,MT2A,0.03708382695913315,0.5720567288041122
Mono_CD14,MT1X,0.015760956332087517,0.10404409487830557
MoMac_Inter,TREM2,0.39986521005630493,0.363464229850992
MoMac_Inter,C1QA,0.49171680212020874,0.5567629867456986
MoMac_Inter,APOE,0.32905343174934387,0.4625010290606734
MoMac_Inter,CD14,0.7430897951126099,0.8770889931670371
MoMac_Inter,S100A8,0.26800525188446045,0.5235860706347246
MoMac_Inter,VCAN,0.25432923436164856,0.40273318514859635
MoMac_Inter,HLA-DRA,1.0,0.9966246809911913
MoMac_Inter,CST3,0.8738765120506287,0.9815592327323619
MoMac_Inter,CLEC10A,1.0,0.3088005268790648
MoMac_Inter,IL1B,0.31974196434020996,0.6277270107845558
MoMac_Inter,TNF,0.419870525598526,0.3386844488351033
MoMac_Inter,CXCL8,0.32027721405029297,0.5695233390960731
MoMac_Inter,FCGR3A,0.44779711961746216,0.7317856260805137
MoMac_Inter,CDKN1C,0.057715535163879395,0.10134189511813617
MoMac_Inter,LST1,0.38390636444091797,0.8254713097884251
MoMac_Inter,MKI67,0.018033619970083237,0.03218901786449329
MoMac_Inter,TOP2A,0.015756642445921898,0.022721659669054088
MoMac_Inter,STMN1,0.09377500414848328,0.19568617765703467
MoMac_Inter,MT1G,0.02062811516225338,0.0948382316621388
MoMac_Inter,MT2A,0.05938132479786873,0.5724047089816415
MoMac_Inter,MT1X,0.03322090581059456,0.13608298345270436
MoMac_IL1B,TREM2,0.1679711788892746,0.17193975538259376
MoMac_IL1B,C1QA,0.10636379569768906,0.2102496714848883
MoMac_IL1B,APOE,0.162847638130188,0.27342565450318407
MoMac_IL1B,CD14,0.6235699653625488,0.803194177701405
MoMac_IL1B,S100A8,0.4756110906600952,0.7807540685333064
MoMac_IL1B,VCAN,0.5676234364509583,0.7005963812796927
MoMac_IL1B,HLA-DRA,0.2901768088340759,0.9651268573739007
MoMac_IL1B,CST3,0.0,0.8560598402911149
MoMac_IL1B,CLEC10A,0.0,0.07641766905893056
MoMac_IL1B,IL1B,1.0,0.9213585363388255
MoMac_IL1B,TNF,1.0,0.49206509653290204
MoMac_IL1B,CXCL8,1.0,0.9207520469018498
MoMac_IL1B,FCGR3A,0.182351753115654,0.4549681593045588
MoMac_IL1B,CDKN1C,0.019033098593354225,0.059334883250783385
MoMac_IL1B,LST1,0.11451150476932526,0.5819266147781259
MoMac_IL1B,MKI67,0.01391131617128849,0.027089861518245224
MoMac_IL1B,TOP2A,0.01923767477273941,0.023653088042049936
MoMac_IL1B,STMN1,0.024783752858638763,0.08864853937127262
MoMac_IL1B,MT1G,0.043827272951602936,0.12978873951278683
MoMac_IL1B,MT2A,0.20702297985553741,0.651470736884666
MoMac_IL1B,MT1X,0.06782035529613495,0.16658243202264228
Mono_CD16,TREM2,0.0,0.018940609951845908
Mono_CD16,C1QA,0.19852933287620544,0.34574638844301764
Mono_CD16,APOE,0.0019157971255481243,0.11203852327447833
Mono_CD16,CD14,0.0,0.501123595505618
Mono_CD16,S100A8,0.3886774480342865,0.8208667736757624
Mono_CD16,VCAN,0.15680544078350067,0.38170144462279293
Mono_CD16,HLA-DRA,0.20469026267528534,0.985553772070626
Mono_CD16,CST3,1.0,0.9955056179775281
Mono_CD16,CLEC10A,0.037696994841098785,0.09245585874799359
Mono_CD16,IL1B,0.0,0.3271268057784912
Mono_CD16,TNF,0.2547227442264557,0.31235955056179776
Mono_CD16,CXCL8,0.0,0.24590690208667737
Mono_CD16,FCGR3A,1.0,0.9739967897271268
Mono_CD16,CDKN1C,1.0,0.6343499197431782
Mono_CD16,LST1,1.0,0.9878009630818619
Mono_CD16,MKI67,0.0,0.011235955056179775
Mono_CD16,TOP2A,0.0,0.006741573033707865
Mono_CD16,STMN1,0.003254127223044634,0.05040128410914928
Mono_CD16,MT1G,0.0017949821194633842,0.04301765650080257
Mono_CD16,MT2A,0.2719240188598633,0.8243980738362761
Mono_CD16,MT1X,0.0,0.0709470304975923
Mac_Prolif,TREM2,0.8244749307632446,0.6996021220159151
Mac_Prolif,C1QA,0.9376014471054077,0.9263925729442971
Mac_Prolif,APOE,0.7264562845230103,0.853448275862069
Mac_Prolif,CD14,0.6754299402236938,0.8640583554376657
Mac_Prolif,S100A8,0.004425028804689646,0.28183023872679047
Mac_Prolif,VCAN,0.011017311364412308,0.1220159151193634
Mac_Prolif,HLA-DRA,0.6155527234077454,0.9807692307692307
Mac_Prolif,CST3,0.5234067440032959,0.9602122015915119
Mac_Prolif,CLEC10A,0.09481664001941681,0.1246684350132626
Mac_Prolif,IL1B,0.15538661181926727,0.5596816976127321
Mac_Prolif,TNF,0.7466229796409607,0.4980106100795756
Mac_Prolif,CXCL8,0.3903045058250427,0.7049071618037135
