cell_type,label,pre_nes,post_nes,pre_fdr,post_fdr,pre_rank,post_rank,pre_n_sets,post_n_sets
B_cells,B cells,1.1589297129599767,-1.2250325374702604,0.6917693814076719,1.0,10.0,38.0,40.0,38.0
DC_cells,DC,-0.7592577680614042,1.6907379193871164,1.0,0.0517385645221271,5.0,2.0,47.0,45.0
Endothelial_cells,Endothelial,2.0068181403176366,1.2457532556333186,0.0,1.0,1.0,2.0,48.0,46.0
Epithelial,Epithelial,-0.918560626601446,1.9003179569875683,0.7923317907653911,0.0,28.0,1.0,43.0,42.0
Fibroblast,Fibroblast,-1.2501931581110088,1.6017596791091258,0.9324404945586208,0.0,47.0,1.0,49.0,49.0
Mast_cells,Mast,-1.5143536700776807,1.375037662526419,0.0123631680618158,0.5033341929779317,40.0,3.0,40.0,40.0
MoMac,MoMac,-1.001138034142407,2.2283340056431222,0.8924723127788953,0.0,21.0,1.0,45.0,43.0
Neutrophils,Neutrophils,-1.2524210666008162,1.3166519123518958,1.0,0.2460688672101207,34.0,7.0,34.0,26.0
NK_cells,NK,1.696672267995732,1.1588285175859845,0.0474345691247353,0.9250016751380792,1.0,9.0,39.0,39.0
Pericyte,Pericyte,-1.3369771175980705,0.909951680001516,0.0728250285762668,0.8079966045613215,45.0,30.0,49.0,49.0
Plasma_cells,Plasma,-1.2008940343486234,1.385684676349474,1.0,0.2022351767887069,38.0,3.0,41.0,41.0
TCD4_cells,CD4+ T,1.7489944064675536,1.1690295765047647,0.0708671562942919,0.801828870019595,1.0,10.0,41.0,39.0
TCD8_cells,CD8+ T,1.6928389282148293,1.125536646300778,0.0155923770601039,1.0,1.0,9.0,39.0,38.0
