CellType,Pathway,NES,NOM_pval,FDR_qval
Epithelial,TNF-alpha Signaling via NF-kB,1.748255747859347,0.0,0.0011214090174478
Epithelial,Hypoxia,1.5600637689613777,0.0082918739635157,0.1014875160790263
Epithelial,UV Response Up,1.5597954878821465,0.0082236842105263,0.0676583440526842
Epithelial,Protein Secretion,-1.506614554923144,0.0204603580562659,0.2203140084345307
Epithelial,G2-M Checkpoint,1.484197213119448,0.0066445182724252,0.1267192189716019
Epithelial,UV Response Dn,1.4791112866718945,0.0153061224489795,0.1076552656749892
Epithelial,Inflammatory Response,1.4779928259154431,0.011456628477905,0.0906472289103642
Epithelial,Cholesterol Homeostasis,-1.3709769217316836,0.0465686274509803,0.3804684721304812
Epithelial,TGF-beta Signaling,1.3588447875784069,0.0767918088737201,0.2281266344065249
Epithelial,Apoptosis,1.3526400077363785,0.0344827586206896,0.2097034862627395
Epithelial,Epithelial Mesenchymal Transition,1.3470204686251748,0.0554649265905383,0.1957481740456113
Epithelial,Interferon Gamma Response,1.326235994845561,0.0585443037974683,0.2119463042976351
Epithelial,IL-6/JAK/STAT3 Signaling,1.3176300726220362,0.0734094616639478,0.2070528831305901
Epithelial,Reactive Oxygen Species Pathway,-1.2926943428300386,0.1148325358851674,0.4406280168690615
Epithelial,Myc Targets V1,1.2197466897361426,0.1094276094276094,0.3818397704409775
Epithelial,Pancreas Beta Cells,-1.1855494538177656,0.2004608294930875,0.6416340633097911
Epithelial,Spermatogenesis,-1.180974816120613,0.16,0.5287536202428738
Epithelial,Androgen Response,1.1543738298628974,0.219430485762144,0.5278385982894707
Epithelial,Allograft Rejection,1.1208880513891857,0.2208201892744479,0.5921840618565445
Epithelial,KRAS Signaling Dn,-1.11010546184739,0.2263157894736842,0.6473925782903985
Epithelial,Adipogenesis,1.098414509634417,0.2597809076682316,0.6225315258858581
Epithelial,IL-2/STAT5 Signaling,1.0750513719442472,0.3123993558776167,0.6586876216234044
Epithelial,Myogenesis,1.07293882914238,0.2891373801916932,0.6266697450443616
Epithelial,Myc Targets V2,1.0334464541134365,0.4086799276672694,0.7150851501258837
Epithelial,Coagulation,1.0319986153871803,0.3825396825396825,0.6812854888631587
Epithelial,Notch Signaling,1.0295052758620091,0.4065743944636678,0.6545103730334113
Epithelial,Xenobiotic Metabolism,1.002267276112918,0.4353312302839117,0.7021088457811304
Epithelial,Hedgehog Signaling,0.984867079376002,0.4737762237762238,0.7236146550767745
