cell_type,gene,mean_scaled,fraction
B cells,TNF,0.6027431488037109,0.21402332236982616
B cells,IL6,0.9654784202575684,0.10110631754303533
B cells,IL1B,0.0,0.03752509504079279
B cells,IL1A,0.014560182578861713,0.004143351416001025
DC cells,TNF,1.0,0.4113195129976966
DC cells,IL6,0.3426136076450348,0.050510036196117145
DC cells,IL1B,0.9072251915931702,0.5786442908851596
DC cells,IL1A,0.3989242911338806,0.0746956235603817
Endothelial cells,TNF,0.004265663679689169,0.02230869001297017
Endothelial cells,IL6,0.32018014788627625,0.05156939040207523
Endothelial cells,IL1B,0.027431873604655266,0.07574578469520103
Endothelial cells,IL1A,0.015341352671384811,0.0052399481193255515
Epithelial cells,TNF,0.03795885667204857,0.03514691410094194
Epithelial cells,IL6,0.12865014374256134,0.019675577246222542
Epithelial cells,IL1B,0.05394900590181351,0.08603295106880092
Epithelial cells,IL1A,0.046931277960538864,0.009392594377832674
Fibroblast,TNF,0.005500325933098793,0.026813074565883555
Fibroblast,IL6,1.0,0.10750766087844739
Fibroblast,IL1B,0.07527043670415878,0.11695607763023494
Fibroblast,IL1A,0.04398813843727112,0.010469867211440245
Mast cells,TNF,0.0807078555226326,0.04125916870415648
Mast cells,IL6,0.04012370482087135,0.007946210268948655
Mast cells,IL1B,0.04380529373884201,0.066320293398533
Mast cells,IL1A,0.05170994624495506,0.007640586797066014
Monocytes/Macrophages,TNF,0.8100718259811401,0.32962849067931876
Monocytes/Macrophages,IL6,0.9869763851165771,0.10722078226361494
Monocytes/Macrophages,IL1B,1.0,0.5524608648537832
Monocytes/Macrophages,IL1A,1.0,0.11896498704037253
Neutrophils,TNF,0.02695036679506302,0.01912796115552504
Neutrophils,IL6,0.0005031547043472528,0.0032043422106691516
Neutrophils,IL1B,0.38940420746803284,0.19682181568492815
Neutrophils,IL1A,0.1534716784954071,0.01324243464613272
NK cells,TNF,0.360758513212204,0.11614447500982458
NK cells,IL6,0.0,0.004144189203672609
NK cells,IL1B,0.022858569398522377,0.05351720195777214
NK cells,IL1A,0.00031953651341609657,0.002036368832839127
Pericyte,TNF,0.0,0.025360230547550433
Pericyte,IL6,0.28528621792793274,0.04418828049951969
Pericyte,IL1B,0.04933011159300804,0.10951008645533142
Pericyte,IL1A,0.018671991303563118,0.007492795389048991
Plasma cells,TNF,0.011626917868852615,0.033386075949367086
Plasma cells,IL6,0.021770890802145004,0.012658227848101266
Plasma cells,IL1B,0.021967323496937752,0.09485759493670887
Plasma cells,IL1A,0.004777469206601381,0.004509493670886076
CD4+ T cells,TNF,0.6017305254936218,0.19079725573692927
CD4+ T cells,IL6,0.012036233209073544,0.0056777856635912
CD4+ T cells,IL1B,0.004444021265953779,0.041501909493392816
CD4+ T cells,IL1A,0.019446879625320435,0.004782182567846159
CD8+ T cells,TNF,0.7686268091201782,0.21747916140439505
CD8+ T cells,IL6,0.010220952332019806,0.005005855473145193
CD8+ T cells,IL1B,0.016763143241405487,0.0495533766561804
CD8+ T cells,IL1A,0.0,0.0021814507795816208
