tf,group,score
BACH1,Post-R,0.053330664012743084
BACH1,Post-R,0.09715972808392152
BACH1,Post-R,0.25700497559060764
BACH1,Post-NR,0.22214426147531538
BACH1,Pre-NR,0.16707456643498994
BACH1,Pre-R,0.2894305383840381
BACH1,Pre-R,0.34048755910484285
BACH1,Post-NR,0.11140207400233108
BACH1,Post-NR,0.21651580955671226
BACH1,Pre-NR,0.40615869469752
BACH1,Pre-NR,0.2744925644086755
BACH1,Post-NR,0.3713821123909212
BACH1,Post-R,0.09073076572971069
BACH1,Pre-R,0.15301394021477993
BACH1,Pre-R,0.207087089354409
BACH1,Pre-NR,0.08933019741721776
BACH1,Post-R,0.175021515376326
BACH1,Post-NR,0.3578397828909546
BACH1,Post-NR,0.2596046747208967
NFKB1,Post-R,0.18586182150670913
NFKB1,Post-R,0.21910877500258186
NFKB1,Post-R,0.35094342003198475
NFKB1,Post-NR,0.34253753559528444
NFKB1,Pre-NR,0.25057130562417207
NFKB1,Pre-R,0.37283685753254253
NFKB1,Pre-R,0.43949225453156926
NFKB1,Post-NR,0.23151638824810986
NFKB1,Post-NR,0.3172634431239711
NFKB1,Pre-NR,0.5191966736461052
NFKB1,Pre-NR,0.3475613227322362
NFKB1,Post-NR,0.4644295176458394
NFKB1,Post-R,0.1528751692145762
NFKB1,Pre-R,0.2269712855427625
NFKB1,Pre-R,0.31253769106175433
NFKB1,Pre-NR,0.18580097066538565
NFKB1,Post-R,0.25231822238795704
NFKB1,Post-NR,0.3660530407588915
NFKB1,Post-NR,0.35576263625618687
