order,label,group,metric,med,q1,q3,whislo,whishi
0,P21-P1,Pre-R,n_genes_by_counts,1285.0,815.0,2289.25,348.0,4496.0
0,P21-P1,Pre-R,total_counts,2565.0,1487.0,6676.0,501.0,14459.0
0,P21-P1,Pre-R,pct_counts_mt,7.140301942825317,5.123762845993042,9.667161226272583,0.19654089212417603,16.474184036254883
1,P22-P1,Pre-R,n_genes_by_counts,1081.0,676.0,1637.0,193.0,3075.0
1,P22-P1,Pre-R,total_counts,3445.0,1592.0,10591.0,501.0,24082.0
1,P22-P1,Pre-R,pct_counts_mt,8.842472076416016,4.675451278686523,13.347329139709473,0.3242805004119873,24.975862503051758
2,P03-P1,Pre-R,n_genes_by_counts,1575.5,609.0,2867.25,279.0,6192.0
2,P03-P1,Pre-R,total_counts,4531.0,1249.75,11027.5,501.0,25679.0
2,P03-P1,Pre-R,pct_counts_mt,15.641071319580078,11.853945970535278,18.974929809570312,1.305087924003601,24.982362747192383
3,P04-P1,Pre-R,n_genes_by_counts,773.0,499.0,1324.0,213.0,2560.0
3,P04-P1,Pre-R,total_counts,1825.0,985.0,4629.0,501.0,10093.0
3,P04-P1,Pre-R,pct_counts_mt,12.267658233642578,7.6003828048706055,17.753623962402344,0.3233545422554016,24.98230743408203
4,P02-P1,Pre-NR,n_genes_by_counts,674.0,418.0,1545.0,206.0,3235.0
4,P02-P1,Pre-NR,total_counts,1407.0,781.0,4891.0,501.0,11055.0
4,P02-P1,Pre-NR,pct_counts_mt,16.288131713867188,11.415745735168457,19.794701099395752,0.4650562107563019,24.9973087310791
5,P25-P1,Pre-NR,n_genes_by_counts,1155.0,849.0,1574.0,228.0,2661.0
5,P25-P1,Pre-NR,total_counts,3010.0,1968.0,5301.75,499.0,10301.0
5,P25-P1,Pre-NR,pct_counts_mt,8.31008243560791,6.182081580162048,11.008783102035522,0.2521653473377228,18.21682357788086
6,P26-P1,Pre-NR,n_genes_by_counts,785.0,552.0,1503.75,304.0,2928.0
6,P26-P1,Pre-NR,total_counts,1417.0,891.0,3343.0,500.0,7018.0
