group,gene,mean_scaled,fraction
T/NK cells,CD3D,1.0,0.6199528756559923
T/NK cells,CD3E,1.0,0.5819014978809345
T/NK cells,NKG7,1.0,0.46593430132039965
T/NK cells,GNLY,1.0,0.2653421869979651
T/NK cells,CD79A,0.03898480907082558,0.041011949387230524
T/NK cells,MS4A1,0.05556793883442879,0.060160039168285925
T/NK cells,JCHAIN,0.051997046917676926,0.09196132131764562
T/NK cells,MZB1,0.026640601456165314,0.04381186982664973
T/NK cells,CD14,0.03194459527730942,0.0455713826710935
T/NK cells,LYZ,0.14994531869888306,0.21226609954252665
T/NK cells,FCGR3B,0.01662514917552471,0.026691044844627365
T/NK cells,CSF3R,0.01553519256412983,0.032275585611774966
T/NK cells,TPSAB1,0.0024322792887687683,0.01090897963555134
T/NK cells,KIT,0.0006832952494733036,0.0028917211095641
T/NK cells,EPCAM,0.043491557240486145,0.049082758304135624
T/NK cells,KRT18,0.08981256186962128,0.11953977264034027
T/NK cells,ALB,0.07536008208990097,0.10343640508575713
T/NK cells,APOA1,0.04006868600845337,0.0419835064795973
T/NK cells,PECAM1,0.0590515099465847,0.07058706528557658
T/NK cells,VWF,0.0029381397180259228,0.006984500986857204
T/NK cells,COL1A1,0.006558529566973448,0.017503327774292754
T/NK cells,DCN,0.000764859898481518,0.006885050260866905
T/NK cells,RGS5,0.007046487182378769,0.015315411802506158
T/NK cells,ACTA2,0.03603855147957802,0.04513532948790526
B cells,CD3D,0.06336060166358948,0.05798556234248858
B cells,CD3E,0.06152397021651268,0.045576865576011275
B cells,NKG7,0.00965304858982563,0.02095168937678869
B cells,GNLY,0.02417745627462864,0.024262099013284355
B cells,CD79A,1.0,0.8471231472384776
B cells,MS4A1,1.0,0.9489556191533894
B cells,JCHAIN,0.16476309299468994,0.21007218828755714
B cells,MZB1,0.11338412016630173,0.13425312887104351
B cells,CD14,0.0,0.02095168937678869
B cells,LYZ,0.0,0.10260134124983981
B cells,FCGR3B,0.0014640839071944356,0.007624620904702917
B cells,CSF3R,0.0010848961537703872,0.01362607321344667
B cells,TPSAB1,0.00853138417005539,0.01742770492503524
B cells,KIT,0.0002226040232926607,0.0024561103754645254
B cells,EPCAM,0.0,0.0233223698261501
B cells,KRT18,0.011557498015463352,0.0570671906368801
B cells,ALB,2.1340345483622514e-05,0.009739011575754988
B cells,APOA1,0.0,0.004549143564990817
B cells,PECAM1,0.05548916384577751,0.0680876511041818
B cells,VWF,0.011305555701255798,0.013092136175302208
B cells,COL1A1,0.0,0.011703899876126607
B cells,DCN,0.0,0.00604416727179531
B cells,RGS5,0.0,0.008607065054888728
B cells,ACTA2,0.007453815545886755,0.020396394857118447
Plasma cells,CD3D,0.025108730420470238,0.03504746835443038
Plasma cells,CD3E,0.02565857023000717,0.025237341772151898
Plasma cells,NKG7,0.023034583777189255,0.02978639240506329
Plasma cells,GNLY,0.10067623108625412,0.04659810126582278
Plasma cells,CD79A,0.751379668712616,0.6558544303797469
Plasma cells,MS4A1,0.037471041083335876,0.04632120253164557
Plasma cells,JCHAIN,1.0,0.9165348101265823
Plasma cells,MZB1,1.0,0.9206882911392406
Plasma cells,CD14,0.037184033542871475,0.05233386075949367
Plasma cells,LYZ,0.3097633123397827,0.35296677215189876
Plasma cells,FCGR3B,0.008150627836585045,0.017365506329113923
Plasma cells,CSF3R,0.016258111223578453,0.03528481012658228
Plasma cells,TPSAB1,0.026749245822429657,0.039596518987341775
Plasma cells,KIT,0.0047692121006548405,0.006487341772151899
Plasma cells,EPCAM,0.1384076178073883,0.11325158227848102
Plasma cells,KRT18,0.19574163854122162,0.21748417721518987
Plasma cells,ALB,0.0055676172487437725,0.017563291139240506
Plasma cells,APOA1,0.008961006999015808,0.014200949367088607
Plasma cells,PECAM1,0.3479449450969696,0.30470727848101264
Plasma cells,VWF,0.012101785279810429,0.014873417721518987
Plasma cells,COL1A1,0.03662831708788872,0.04564873417721519
Plasma cells,DCN,0.018050123006105423,0.024011075949367088
Plasma cells,RGS5,0.018415816128253937,0.029390822784810127
Plasma cells,ACTA2,0.016813989728689194,0.031170886075949367
DC cells,CD3D,0.024625452235341072,0.04705495228693649
DC cells,CD3E,0.03499259427189827,0.042941757156959526
DC cells,NKG7,0.14007195830345154,0.12898979927607765
DC cells,GNLY,0.04961366206407547,0.04491609081934847
DC cells,CD79A,0.02256111241877079,0.03718328397499177
DC cells,MS4A1,0.019588468596339226,0.0338927278710102
DC cells,JCHAIN,0.06951367110013962,0.1564659427443238
DC cells,MZB1,0.01557034719735384,0.044257979598552155
DC cells,CD14,0.3222784698009491,0.35110233629483384
DC cells,LYZ,0.8771660327911377,0.8927278710102007
DC cells,FCGR3B,0.015805859118700027,0.03652517275419546
DC cells,CSF3R,0.18187789618968964,0.34402764067127345
DC cells,TPSAB1,0.0069200932048261166,0.024679170779861797
DC cells,KIT,0.021255431696772575,0.029615004935834157
DC cells,EPCAM,0.07251657545566559,0.0970714050674564
DC cells,KRT18,0.13859616219997406,0.23050345508390918
DC cells,ALB,0.09569062292575836,0.17653833497861138
DC cells,APOA1,0.07522138208150864,0.10513326752221125
DC cells,PECAM1,0.24833278357982635,0.3130964132938467
DC cells,VWF,0.0061018760316073895,0.013162224415926292
DC cells,COL1A1,0.030629828572273254,0.05561039815728858
DC cells,DCN,0.01368019636720419,0.027311615663047056
DC cells,RGS5,0.012102977372705936,0.030766699572227708
DC cells,ACTA2,0.0304253026843071,0.057749259624876606
Monocytes/Macrophages,CD3D,0.025089969858527184,0.04504385772232717
Monocytes/Macrophages,CD3E,0.029013553634285927,0.0360380149072325
Monocytes/Macrophages,NKG7,0.1822776198387146,0.1480179823983365
Monocytes/Macrophages,GNLY,0.17156405746936798,0.08557747221368009
Monocytes/Macrophages,CD79A,0.010400013066828251,0.019988577955454025
Monocytes/Macrophages,MS4A1,0.009614833630621433,0.018787798913441404
Monocytes/Macrophages,JCHAIN,0.05455581098794937,0.11949215832710978
Monocytes/Macrophages,MZB1,0.009922071360051632,0.03262604519029419
Monocytes/Macrophages,CD14,1.0,0.8561408133081463
Monocytes/Macrophages,LYZ,1.0,0.9405614374203751
Monocytes/Macrophages,FCGR3B,0.03617868945002556,0.06544245778968795
Monocytes/Macrophages,CSF3R,0.3149678707122803,0.506479813732812
Monocytes/Macrophages,TPSAB1,0.004344201646745205,0.016781619294469096
Monocytes/Macrophages,KIT,0.0,0.0028115801959319947
Monocytes/Macrophages,EPCAM,0.09390092641115189,0.10525853358520405
Monocytes/Macrophages,KRT18,0.13579612970352173,0.20925771354098024
Monocytes/Macrophages,ALB,0.07826157659292221,0.14728580005564587
Monocytes/Macrophages,APOA1,0.07410826534032822,0.10388203078094568
Monocytes/Macrophages,PECAM1,0.49407604336738586,0.5311982896220475
Monocytes/Macrophages,VWF,0.012132828123867512,0.01839242044838847
Monocytes/Macrophages,COL1A1,0.0448470376431942,0.064578482625313
Monocytes/Macrophages,DCN,0.016322672367095947,0.027163964913822138
Monocytes/Macrophages,RGS5,0.011075572110712528,0.025436014585072265
Monocytes/Macrophages,ACTA2,0.03610282391309738,0.059570355401309144
Neutrophils,CD3D,0.019256066530942917,0.025471250837870094
Neutrophils,CD3E,0.02917785570025444,0.022708323115405365
Neutrophils,NKG7,0.1667017936706543,0.08447365409452809
Neutrophils,GNLY,0.29493412375450134,0.08498046332172576
Neutrophils,CD79A,0.008632327429950237,0.010920921411872415
Neutrophils,MS4A1,0.007887418381869793,0.010512204293164615
Neutrophils,JCHAIN,0.06643147766590118,0.08413033171481354
Neutrophils,MZB1,0.00933583453297615,0.01904621773178348
Neutrophils,CD14,0.4163288474082947,0.27714290385338497
Neutrophils,LYZ,0.74474036693573,0.5755881439338205
Neutrophils,FCGR3B,1.0,0.9813788480716726
Neutrophils,CSF3R,1.0,0.9973024670165285
Neutrophils,TPSAB1,0.000850173644721508,0.007062631811270783
Neutrophils,KIT,0.00024705889518372715,0.0020926316477839356
Neutrophils,EPCAM,0.006090502720326185,0.021694704661010023
Neutrophils,KRT18,0.0,0.03822322494155345
Neutrophils,ALB,0.0052033765241503716,0.012980855690159727
Neutrophils,APOA1,0.008116697892546654,0.009711118740497326
Neutrophils,PECAM1,0.46492505073547363,0.31922441839554005
