group,gene,mean_scaled,fraction
CD4+ T cells,CD3D,1.0,0.7341410659366656
CD4+ T cells,CD3E,0.9981051087379456,0.6396802865929906
CD4+ T cells,IL7R,1.0,0.5779005711582007
CD4+ T cells,CD8A,0.0,0.028203048430159857
CD4+ T cells,CD8B,0.0,0.01402548244279969
CD4+ T cells,NKG7,0.0,0.09615059650545811
CD4+ T cells,GNLY,0.0,0.08065497313190713
CD4+ T cells,FOXP3,1.0,0.15558146608536957
CD4+ T cells,IL2RA,1.0,0.13956199939166583
CD4+ T cells,GZMB,0.0,0.0579269323059245
CD4+ T cells,PRF1,0.0,0.09836425698739397
CD4+ T cells,PDCD1,1.0,0.11440062185271553
CD4+ T cells,LAG3,0.0,0.08217580857751192
CD8+ T cells,CD3D,0.9764857292175293,0.7131736664446945
CD8+ T cells,CD3E,1.0,0.6310133412937151
CD8+ T cells,IL7R,0.6013947129249573,0.37975613676548253
CD8+ T cells,CD8A,1.0,0.5432730946749639
CD8+ T cells,CD8B,1.0,0.3927070656042619
CD8+ T cells,NKG7,0.6664206385612488,0.6651128613745436
CD8+ T cells,GNLY,0.23062609136104584,0.22707754483455417
CD8+ T cells,FOXP3,0.031169457361102104,0.009024317435532388
CD8+ T cells,IL2RA,0.041388656944036484,0.015890146731268227
CD8+ T cells,GZMB,0.4008556604385376,0.30900824358768286
CD8+ T cells,PRF1,0.40989628434181213,0.35686238489976807
CD8+ T cells,PDCD1,0.9379353523254395,0.10468667478013273
CD8+ T cells,LAG3,1.0,0.23522928195825393
NK cells,CD3D,0.0,0.2335036261655532
NK cells,CD3E,0.0,0.38333750133971634
NK cells,IL7R,0.0,0.08181201100353686
NK cells,CD8A,0.15468205511569977,0.11371512271801651
NK cells,CD8B,0.08600037544965744,0.04908720660212211
NK cells,NKG7,1.0,0.9378371619449108
NK cells,GNLY,1.0,0.7153370726304884
NK cells,FOXP3,0.0,0.0042870922796613194
NK cells,IL2RA,0.0,0.010360473009181522
NK cells,GZMB,1.0,0.6838983959129721
NK cells,PRF1,1.0,0.7135150584116323
NK cells,PDCD1,0.0,0.013718695294916223
NK cells,LAG3,0.5247411727905273,0.16516023007395234
