order,sample,cell_type,proportion
0,P01-M1,B cells,0.0001596678907871627
0,P01-M1,Dendritic cells,0.001117675235510139
0,P01-M1,Endothelial cells,0.015168449624780457
0,P01-M1,Epithelial cells,0.6415455851828198
0,P01-M1,Fibroblasts,0.019160146894459523
0,P01-M1,Hepatocytes,0.0009580073447229762
0,P01-M1,Mast cells,0.04087498004151365
0,P01-M1,Monocytes/Macrophages,0.16110490180424716
0,P01-M1,Neutrophils,0.003991697269679068
0,P01-M1,Pericytes,0.015328117515567619
0,P01-M1,Plasma cells,0.0017563467986587897
0,P01-M1,T/NK cells,0.0988344243972537
1,P02-M1,B cells,0.0038463063563186485
1,P02-M1,Dendritic cells,0.01082517149768032
1,P02-M1,Endothelial cells,0.018359173638923035
1,P02-M1,Epithelial cells,0.5191720528173203
1,P02-M1,Fibroblasts,0.013918077639874698
1,P02-M1,Hepatocytes,0.14493040961180062
1,P02-M1,Mast cells,0.0024188112137673978
1,P02-M1,Monocytes/Macrophages,0.13501724889963915
1,P02-M1,Neutrophils,0.015900709782306992
1,P02-M1,Pericytes,0.010388992426345216
1,P02-M1,Plasma cells,0.00459970657044292
1,P02-M1,T/NK cells,0.12062333954558072
2,P21-M1,B cells,0.002176278563656148
2,P21-M1,Dendritic cells,0.01088139281828074
2,P21-M1,Endothelial cells,0.017410228509249184
2,P21-M1,Epithelial cells,0.588683351468988
2,P21-M1,Fibroblasts,0.041349292709466814
2,P21-M1,Hepatocytes,0.01632208922742111
2,P21-M1,Mast cells,0.03264417845484222
2,P21-M1,Monocytes/Macrophages,0.10337323177366703
2,P21-M1,Neutrophils,0.06420021762785637
2,P21-M1,Pericytes,0.001088139281828074
2,P21-M1,Plasma cells,0.018498367791077257
2,P21-M1,T/NK cells,0.10337323177366703
3,P22-M1,B cells,0.01543793320730939
3,P22-M1,Dendritic cells,0.02835538752362949
3,P22-M1,Endothelial cells,0.00630119722747322
3,P22-M1,Epithelial cells,0.09598823776517539
