group,gene,mean_scaled,fraction
Cytotoxic CCL,CCL4,0.527660608291626,0.581369559190463
Cytotoxic CCL,CCL5,1.0,0.9683947879123925
Cytotoxic CCL,DUSP1,0.0,0.34599390074854447
Cytotoxic CCL,JUN,0.0,0.7402273357360688
Cytotoxic CCL,KLRB1,0.0641726702451706,0.15303576379262546
Cytotoxic CCL,SLC4A10,0.008689476177096367,0.0019406709176601053
Cytotoxic CCL,CCR7,0.08165080845355988,0.034654837815359024
Cytotoxic CCL,SELL,0.04301834478974342,0.034654837815359024
Cytotoxic CCL,KLRG1,0.43115031719207764,0.1036872747435542
Cytotoxic CCL,CX3CR1,0.01456393115222454,0.003049625727751594
Cytotoxic CCL,MKI67,0.012657742016017437,0.03798170224563349
Cytotoxic CCL,TOP2A,0.0,0.012198502911006376
Cytotoxic CCL,PDCD1,0.17542344331741333,0.09259772664263931
Cytotoxic CCL,HAVCR2,0.07729409635066986,0.061546991960077624
Cytotoxic CCL,LAG3,0.280254602432251,0.26254505128915995
Cytotoxic CCL,ISG15,0.06439460068941116,0.24119767119489882
Cytotoxic DUSP1,CCL4,1.0,0.7701662943658476
Cytotoxic DUSP1,CCL5,0.837224543094635,0.9756763464879623
Cytotoxic DUSP1,DUSP1,1.0,0.8761479275254406
Cytotoxic DUSP1,JUN,1.0,0.9774137503102507
Cytotoxic DUSP1,KLRB1,0.0746278315782547,0.18441300570861255
Cytotoxic DUSP1,SLC4A10,0.0034288193564862013,0.0009928021841648052
Cytotoxic DUSP1,CCR7,0.17668266594409943,0.06875155125341276
Cytotoxic DUSP1,SELL,0.07736502587795258,0.05063291139240506
Cytotoxic DUSP1,KLRG1,0.35298246145248413,0.10970464135021098
Cytotoxic DUSP1,CX3CR1,0.005204323213547468,0.001737403822288409
Cytotoxic DUSP1,MKI67,0.0007276920950971544,0.03598907917597419
Cytotoxic DUSP1,TOP2A,0.013685266487300396,0.022089848597666915
Cytotoxic DUSP1,PDCD1,0.25377920269966125,0.1370067014147431
Cytotoxic DUSP1,HAVCR2,0.07897073775529861,0.07297096053611318
Cytotoxic DUSP1,LAG3,0.34525948762893677,0.3308513278729213
Cytotoxic DUSP1,ISG15,0.1037684977054596,0.2946140481509059
MAIT,CCL4,0.41183918714523315,0.49341595662277304
MAIT,CCL5,0.23007693886756897,0.8536018590240124
MAIT,DUSP1,0.7212820053100586,0.7575522850503486
MAIT,JUN,0.7509160041809082,0.9326103795507359
MAIT,KLRB1,1.0,0.8218435321456236
MAIT,SLC4A10,1.0,0.24167312161115415
MAIT,CCR7,0.1439047008752823,0.06429124709527498
MAIT,SELL,0.0,0.030983733539891558
MAIT,KLRG1,0.7355172634124756,0.168861347792409
MAIT,CX3CR1,0.0,0.000774593338497289
MAIT,MKI67,0.0,0.03563129357087529
MAIT,TOP2A,0.018053041771054268,0.026336173508907823
MAIT,PDCD1,0.27281510829925537,0.1533694810224632
MAIT,HAVCR2,0.06875337660312653,0.07591014717273431
