module,group,value
1,Pre-R,0.3178876178902594
1,Pre-R,0.0692326313241328
1,Pre-R,0.2458149594135334
1,Pre-R,0.042938671981156
1,Pre-NR,0.2131847725162483
1,Pre-NR,0.1460790061521762
1,Pre-NR,0.1182837816778883
1,Pre-NR,0.1595956614771619
1,Post-R,0.0703299429421944
1,Post-R,0.1918655832370277
1,Post-R,0.1562386980108486
1,Post-R,0.0980409849213967
1,Post-R,0.2381732168850088
1,Post-NR,0.0302437823869593
1,Post-NR,0.1681533419076455
1,Post-NR,0.1267005432952071
1,Post-NR,0.061561011359471
1,Post-NR,0.1393114491593259
1,Post-NR,0.1452604543508801
2,Pre-R,0.4142340105143604
2,Pre-R,0.3389009924957645
2,Pre-R,0.4463107041541485
2,Pre-R,0.122940742562085
2,Pre-NR,0.322376973073354
2,Pre-NR,0.4644190309390082
2,Pre-NR,0.1639226884668667
2,Pre-NR,0.5061609975651186
2,Post-R,0.5649962788390026
2,Post-R,0.1227371692925208
2,Post-R,0.2459312839059672
2,Post-R,0.1747473532242534
2,Post-R,0.2394468704512383
2,Post-NR,0.6573237260558707
2,Post-NR,0.574451313114555
2,Post-NR,0.3128560340914116
2,Post-NR,0.7530963722975481
2,Post-NR,0.3202562049639722
2,Post-NR,0.519204033623637
3,Pre-R,0.1458272792116859
3,Pre-R,0.0750423626240598
3,Pre-R,0.0785748391989408
3,Pre-R,0.0729879776894877
3,Pre-NR,0.1719591457753007
3,Pre-NR,0.0811879865527738
3,Pre-NR,0.162490681424762
3,Pre-NR,0.1328119235593579
3,Post-R,0.0669808980401867
3,Post-R,0.0725989631824711
3,Post-R,0.2343580470162735
3,Post-R,0.1184031119666337
3,Post-R,0.2409024745269295
3,Post-NR,0.0114302902692125
3,Post-NR,0.0482927436418683
3,Post-NR,0.2606059718540865
3,Post-NR,0.066837669475998
3,Post-NR,0.1200960768614873
3,Post-NR,0.1625116959175085
4,Pre-R,0.0194172192428594
4,Pre-R,0.0
4,Pre-R,0.1883794904923734
4,Pre-R,0.0889055685685787
4,Pre-NR,0.1338904363973992
4,Pre-NR,0.0036363906225647
4,Pre-NR,0.0022111873444272
4,Pre-NR,0.1355788386335128
4,Post-R,0.0227921111386749
4,Post-R,0.3548980752580297
4,Post-R,0.020614828209764
4,Post-R,0.1410611164581296
4,Post-R,0.1120815138282355
4,Post-NR,0.2809991933168356
4,Post-NR,0.0239596730697407
4,Post-NR,0.0021526791336553
4,Post-NR,0.04770978380359
4,Post-NR,0.0531854054672274
4,Post-NR,0.0763691326269669
5,Pre-R,0.1026338731408345
5,Pre-R,0.5168240135560428
5,Pre-R,0.0409200067410037
5,Pre-R,0.6722270391986923
5,Pre-NR,0.1585886722376978
5,Pre-NR,0.3046775857334768
5,Pre-NR,0.5530916610860557
5,Pre-NR,0.0658525787648488
5,Post-R,0.2749007690399414
5,Post-R,0.2579002090299505
5,Post-R,0.3428571428571464
5,Post-R,0.4677474334295864
5,Post-R,0.1693959243085878
5,Post-NR,0.0200030079711218
5,Post-NR,0.1851429282661902
5,Post-NR,0.2976847716256394
5,Post-NR,0.0707951630633928
5,Post-NR,0.3671508635479871
5,Post-NR,0.0966546834810074
