panel,group,mean
A,R,0.013245012611150742
A,R,0.015503025613725185
A,R,0.02827770821750164
A,NR,0.015047318302094936
A,NR,0.0
A,NR,0.026651930063962936
A,NR,0.046408090740442276
A,R,0.0
A,R,0.016701962798833847
A,NR,0.0
A,NR,0.0008530968334525824
B,R,0.00771824037656188
B,R,0.029970064759254456
B,R,0.08709226548671722
B,NR,0.04361968860030174
B,NR,0.0
B,NR,0.05273924395442009
B,NR,0.19374966621398926
B,R,0.007799792103469372
B,R,0.018239926546812057
B,NR,0.06533759087324142
B,NR,0.008430804125964642
C,R,0.021474268287420273
C,R,0.04488472267985344
C,R,0.0
C,NR,0.014784352853894234
C,NR,0.019754070788621902
C,NR,0.047478076070547104
C,R,0.04162007197737694
C,R,0.0
C,NR,0.037271030247211456
C,NR,0.017612274736166
D,R,0.007414876949042082
D,R,0.02597561478614807
D,NR,0.01696302928030491
D,NR,0.13439877331256866
D,NR,0.06331446766853333
D,R,0.032006967812776566
D,R,0.013988608494400978
D,NR,0.05839936062693596
D,NR,0.0
E,R,0.02288787066936493
E,R,0.021461352705955505
E,R,0.0
E,NR,0.031865593045949936
E,NR,0.0
E,NR,0.0271985474973917
E,NR,0.06298743188381195
E,R,0.011572735384106636
E,R,0.040943440049886703
E,NR,0.06996370851993561
E,NR,0.027637308463454247
F,R,0.018937675282359123
F,R,0.26851657032966614
F,R,0.023609213531017303
F,NR,0.07863777875900269
F,NR,0.13986167311668396
F,NR,0.05422671139240265
F,R,0.0
F,R,0.015475653111934662
F,NR,0.0
G,R,0.12482279539108276
G,R,0.10610499978065491
G,NR,0.18338192999362946
G,NR,0.3435879051685333
G,NR,0.15018858015537262
G,R,0.0
G,R,0.19875425100326538
G,NR,0.11134719848632812
G,NR,0.1187467947602272
H,R,0.013987048529088497
H,R,0.012064174748957157
H,NR,0.0021369336172938347
H,NR,0.060358382761478424
H,NR,0.018767589703202248
H,NR,0.015489669516682625
H,R,0.0
H,R,0.00883026234805584
H,NR,0.0
H,NR,0.008145608007907867
I,R,0.010711160488426685
I,R,0.024723920971155167
I,NR,0.005734131671488285
I,NR,0.0
I,NR,0.0
I,NR,0.018369169905781746
I,R,0.0
I,R,0.0
I,NR,0.04344945400953293
I,NR,0.005267791915684938
