figure,printed_panel,size_pt,weight,font,x_mm,y_mm,cell_w_mm,cell_h_mm
Figure 2,A,10.0000,bold,Arial-BoldMT,-0.045,2.788,2.802,3.839
Figure 2,B,10.0000,bold,Arial-BoldMT,0.026,2.730,2.873,3.781
Figure 2,C,10.0000,bold,Arial-BoldMT,0.013,2.730,2.860,3.781
Figure 2,D,10.0000,bold,Arial-BoldMT,-0.005,2.793,2.842,3.845
Figure 2,E,10.0000,bold,Arial-BoldMT,0.672,3.596,3.326,4.647
Figure 2,F,10.0000,bold,Arial-BoldMT,0.128,2.823,2.584,3.874
Figure 2,G,10.0000,bold,Arial-BoldMT,-0.017,2.784,3.028,3.835
Figure 2,H,10.0000,bold,Arial-BoldMT,0.009,2.788,2.857,3.840
Figure 2,I,10.0000,bold,Arial-BoldMT,0.124,2.784,1.405,3.835
Figure 2,J,10.0000,bold,Arial-BoldMT,-0.008,2.838,2.253,3.889
Figure 2,K,10.0000,bold,Arial-BoldMT,0.026,2.825,2.873,3.877
Figure 2,L,10.0000,bold,Arial-BoldMT,0.023,2.744,2.479,3.796
Figure 2,M,10.0000,bold,Arial-BoldMT,-0.035,2.755,3.204,3.806
Figure 2,N,10.0000,bold,Arial-BoldMT,0.021,2.811,2.868,3.863
Figure 3,A,6.9097,bold,LiberationSans-Bold,0.030,2.417,2.090,2.748
Figure 3,B,6.9097,bold,LiberationSans-Bold,0.013,2.398,2.073,2.729
Figure 3,C,6.9097,bold,LiberationSans-Bold,0.041,2.414,2.101,2.745
Figure 3,D,6.9097,bold,LiberationSans-Bold,0.007,2.400,2.066,2.731
Figure 3,E,6.9785,bold,LiberationSans-Bold,0.044,2.431,1.986,2.762
Figure 3,F,6.9785,bold,LiberationSans-Bold,-0.039,2.418,1.765,2.749
Figure 3,G,6.9785,bold,LiberationSans-Bold,0.028,2.419,2.243,2.750
Figure 3,H,5.9817,bold,LiberationSans-Bold,0.091,2.054,1.914,2.381
Figure 3,I,5.9817,bold,LiberationSans-Bold,1.292,2.054,2.179,2.381
Figure 3,J,5.9817,bold,LiberationSans-Bold,0.830,2.052,2.304,2.378
Figure 3,K,6.9785,bold,LiberationSans-Bold,0.009,2.403,2.086,2.735
Figure 3,L,6.9785,bold,LiberationSans-Bold,0.793,2.403,2.597,2.735
Figure 3,M,6.9785,bold,LiberationSans-Bold,0.065,2.457,2.415,2.789
Figure 3,N,6.9785,bold,LiberationSans-Bold,0.813,3.257,2.890,3.589
Figure 4,A,8.6112,bold,LiberationSans-Bold,0.046,2.625,2.540,3.377
Figure 4,B,8.6112,bold,LiberationSans-Bold,0.022,2.749,2.516,3.501
Figure 4,C,8.6112,bold,LiberationSans-Bold,0.874,2.583,3.367,3.335
Figure 4,D,8.6112,bold,LiberationSans-Bold,1.369,2.581,3.863,3.333
Figure 4,E,8.6112,bold,LiberationSans-Bold,0.030,2.583,2.356,3.335
Figure 4,F,8.6112,bold,LiberationSans-Bold,0.761,2.583,2.918,3.335
Figure 4,G,8.6112,bold,LiberationSans-Bold,-0.048,2.593,2.616,3.345
Figure 4,H,8.6112,bold,LiberationSans-Bold,0.015,2.629,2.509,3.381
Figure 5,A,10.0000,bold,Arial-BoldMT,0.575,3.552,3.422,5.179
Figure 5,B,10.0000,bold,Arial-BoldMT,0.772,3.552,3.619,5.179
Figure 5,C,10.0000,bold,Arial-BoldMT,-0.050,3.552,2.797,5.179
Figure 5,D,10.0000,bold,Arial-BoldMT,0.739,4.327,3.586,5.954
Figure 5,E,10.0000,bold,Arial-BoldMT,0.196,4.358,2.849,5.984
Figure 5,F,10.0000,bold,Arial-BoldMT,0.836,3.646,3.291,5.273
Figure 5,G,10.0000,bold,Arial-BoldMT,-0.015,3.582,3.030,5.208
Figure 5,H,10.0000,bold,Arial-BoldMT,0.041,3.546,2.888,5.172
Figure 5,I,10.0000,bold,Arial-BoldMT,0.041,4.399,1.322,6.026
Figure 5,J,10.0000,bold,Arial-BoldMT,0.024,3.588,2.286,5.215
Figure 5,K,10.0000,bold,Arial-BoldMT,0.760,3.634,3.607,5.261
Figure 5,L,10.0000,bold,Arial-BoldMT,-0.002,3.534,2.454,5.161
Figure 5,M,10.0000,bold,Arial-BoldMT,0.525,3.534,3.763,5.161
Figure 5,N,10.0000,bold,Arial-BoldMT,0.024,3.517,2.872,5.143
