figure,printed_panel,rect_mm,n_regions,confidence,note
Figure 1,A,"13.3,13.0,237.7,99.2",2,measured,"placement rect on _patched/Figure_1.pdf, not the submitted page"
Figure 1,B,"13.2,66.8,82.6,123.6",3,measured,given the piece by A; split left of C
Figure 1,C,"82.8,66.8,243.7,123.6",3,measured,given the piece by B
Figure 2,D,"80.5,6.7,111.4,30.3",1,measured,split above E
Figure 2,F,"118.1,6.9,169.5,57.1",4,measured,
Figure 2,B,"54.3,7.0,79.6,29.6",1,measured,
Figure 2,A,"8.2,7.7,52.7,54.2",1,measured,
Figure 2,E,"80.5,30.5,111.4,56.6",0,measured,given the piece by D
Figure 2,C,"55.1,31.8,79.8,54.9",1,measured,
Figure 2,G,"5.0,62.3,95.5,95.6",3,measured,"the recorded y1 = 94.8 is panel J's letter y minus 1.0, an artificial split cut, and it clipped 0.8 mm of G's own printed ink: G's bottom row of ink runs to y = 95.589 at x 72-95.5, nowhere near J's letter at x 4.3-6.3."
Figure 2,I,"134.6,62.3,168.0,91.2",3,measured,
Figure 2,H,"97.1,62.3,132.2,91.1",4,measured,
Figure 2,J,"4.3,95.7,109.2,150.1",2,measured,"the recorded y0 = 95.0 is J's own letter y minus 0.8, an artificial split offset, and the 0.8 mm it added above the letter is panel G's ink, not J's. J's footprint starts at its letter, y = 95.761; its own plotted ink starts at 96.012."
Figure 2,K,"115.2,102.8,159.9,123.3",2,measured,"the recorded x0 = 21.1 was a marker dot from the middle of panel J, mis-assigned because assign() bands candidate owners within 4 mm of y and J's letter sits 7 mm above K's, so J was not a candidate. K's ink is the two boxplots at x 120.5-138.2 and 140.8-159.9, one per source SVG (02_J, 02_K)."
Figure 2,L,"116.3,127.6,161.9,148.0",1,measured,"the recorded x0 = 93.6 was a marker dot from the middle of panel J, mis-assigned by the same 4 mm y-band rule. L's ink is the two boxplots at x 116.3-138.4 and 139.8-161.9, one per source SVG (02_N, 02_O)."
Figure 2,M,"3.0,155.9,126.2,186.2",1,measured,
Figure 2,N,"129.2,155.9,160.9,185.3",1,measured,
Figure 3,A,"7.2,5.7,55.9,28.8",4,measured,
Figure 3,D,"108.8,5.8,158.8,28.7",5,measured,
Figure 3,C,"59.9,6.4,105.0,50.4",1,measured,
Figure 3,B,"6.7,29.4,54.1,52.3",3,measured,
Figure 3,E,"108.6,30.3,156.3,52.1",5,measured,
Figure 3,J,"130.4,55.1,159.0,87.2",0,measured,given the piece by H
Figure 3,H,"70.6,55.3,98.0,86.3",3,measured,"the recorded x1 = 101.4 is panel I's letter x minus 1.0 and it sliced through I's tick labels, which start at x = 101.177; the recorded y1 = 87.2 is panel M's letter y minus 1.0. H's own ink ends at x = 97.959 and y = 86.275, with an empty gutter from 98.0 to 101.1. Nothing is orphaned: the 135 ink pixels between 98.0 and 101.4 are I's, and the corrected I rect takes them."
Figure 3,I,"101.1,55.3,130.2,87.2",1,measured,"the recorded x0 = 101.6 clipped I's own leftmost tick labels, which begin at x = 101.177. The window stops at y = 87.3 so panel N's title, which begins at 87.291, cannot enter it."
Figure 3,F,"5.8,55.3,35.9,83.1",1,measured,
Figure 3,G,"37.5,55.3,67.1,83.1",1,measured,
Figure 3,K,"4.6,88.2,35.3,114.6",2,measured,split left of L
Figure 3,L,"35.5,88.2,68.7,114.6",0,measured,given the piece by K
Figure 3,M,"71.6,88.2,102.5,115.1",1,measured,"all four recorded edges were inherited through the split chain rather than measured. M's own footprint is its letter at (71.665, 88.227) and its ink 71.797-102.447 x 88.815-115.062 - the spatial plot and its colour bar. The recorded rect added 8.3 mm of height below the plot which contains zero ink pixels: that band is the depth of panel N's rotated x tick labels (Mo/Mac ... Plasma), which set the row's height, and M inherited it. It also added blank margin left, above and right."
Figure 3,N,"103.4,87.4,159.0,123.4",0,measured,given the piece by M
Figure 4,A,"12.0,6.9,132.1,101.2",2,measured,
Figure 4,B,"133.1,6.9,154.9,101.2",5,measured,
Figure 4,C,"11.3,105.1,42.3,144.3",3,measured,
Figure 4,E,"45.8,105.1,160.7,144.3",9,measured,
Figure 4,H,"135.1,146.9,163.7,198.1",4,measured,
Figure 4,G,"97.8,149.9,134.5,199.5",3,measured,"the recorded x1 = 135.6 and y0 = 149.2 were the left sliver of panel H's letter glyph, read out of G's dilated bounding slice by segment(). G's own ink ends at x = 134.493 with an 0.8 mm gap before H's glyph at 135.297, so G and H do not overlap; the 0.5 mm overlap was an artefact, not ink adjacency."
Figure 4,D,"11.4,150.8,44.9,193.4",1,measured,split left of F
Figure 4,F,"45.1,150.8,95.8,198.2",5,measured,given the piece by D
Figure 5,A,"7.4,4.7,65.0,45.3",2,measured,the recorded x0 = 6.3 sat 1.2 mm left of any of A's ink; that band is empty. A's leftmost printed ink is at x = 7.493 and its letter at 7.975.
Figure 5,B,"65.2,4.7,113.2,45.3",2,measured,given the piece by A
Figure 5,C,"115.1,4.7,158.8,43.1",3,measured,
Figure 5,D,"5.5,45.5,38.4,78.3",2,measured,given the piece by A; split above E; split left of F
Figure 5,H,"119.5,47.1,164.1,80.1",2,measured,split above I
Figure 5,G,"83.1,47.9,113.9,112.4",2,measured,
