figure,printed_panel,rect_mm,n_regions,confidence,note
Figure 1,A,"5.00,6.00,166.00,67.85",2,measured,"re-paged 2026-09-15 onto the 171.1 x 229.31 mm page the other main figures use; a layout, not a measurement. placement rect on _patched/Figure_1.pdf, not the submitted page"
Figure 1,B,"5.00,74.00,68.00,136.00",3,measured,"re-paged 2026-09-15 onto the 171.1 x 229.31 mm page the other main figures use; a layout, not a measurement. given the piece by A; split left of C"
Figure 1,C,"73.00,74.00,166.00,136.00",3,measured,"re-paged 2026-09-15 onto the 171.1 x 229.31 mm page the other main figures use; a layout, not a measurement. given the piece by B"
Figure 2,D,"80.50,7.00,111.40,32.00",1,measured,v2 layout 2026-09-14: y 6.7-30.3 -> 7.0-32.0; x unchanged. split above E
Figure 2,F,"118.10,6.90,169.50,57.10",4,measured,v2 layout 2026-09-14: y 6.9-57.1 -> 6.9-57.1; x unchanged. 
Figure 2,B,"54.30,7.00,79.60,31.00",1,measured,v2 layout 2026-09-14: y 7.0-29.6 -> 7.0-31.0; x unchanged. 
Figure 2,A,"8.20,8.00,52.70,58.00",1,measured,v2 layout 2026-09-14: y 7.7-54.2 -> 8.0-58.0; x unchanged. 
Figure 2,E,"80.50,33.00,111.40,61.00",0,measured,v2 layout 2026-09-14: y 30.5-56.6 -> 33.0-61.0; x unchanged. given the piece by D
Figure 2,C,"55.10,34.00,79.80,58.00",1,measured,v2 layout 2026-09-14: y 31.8-54.9 -> 34.0-58.0; x unchanged. 
Figure 2,G,"5.00,68.00,95.50,106.00",3,measured,"v2 layout 2026-09-14: y 62.3-95.6 -> 68.0-106.0; x unchanged. the recorded y1 = 94.8 is panel J's letter y minus 1.0, an artificial split cut, and it clipped 0.8 mm of G's own printed ink: G's bottom row of ink runs to y = 95.589 at x 72-95.5, nowhere near J's letter at x 4.3-6.3."
Figure 2,I,"134.60,64.70,168.00,106.00",3,measured,v2 layout 2026-09-14: y 62.3-91.2 -> 64.7-106.0; x unchanged. 
Figure 2,H,"97.10,64.70,132.20,106.00",4,measured,v2 layout 2026-09-14: y 62.3-91.1 -> 64.7-106.0; x unchanged. 
Figure 2,J,"4.30,112.00,109.20,172.00",2,measured,"v2 layout 2026-09-14: y 95.7-150.1 -> 112.0-172.0; x unchanged. the recorded y0 = 95.0 is J's own letter y minus 0.8, an artificial split offset, and the 0.8 mm it added above the letter is panel G's ink, not J's. J's footprint starts at its letter, y = 95.761; its own plotted ink starts at 96.012."
Figure 2,K,"115.20,108.60,161.90,141.00",2,measured,"v2 layout 2026-09-14: y 102.8-123.3 -> 108.6-141.0; x 115.2-159.9 -> 115.2-161.9, narrowed 2026-09-14 to match its twin. the recorded x0 = 21.1 was a marker dot from the middle of panel J, mis-assigned because assign() bands candidate owners within 4 mm of y and J's letter sits 7 mm above K's, so J was not a candidate. K's ink is the two boxplots at x 120.5-138.2 and 140.8-159.9, one per source SVG (02_J, 02_K)."
Figure 2,L,"115.20,144.00,161.90,172.00",1,measured,"v2 layout 2026-09-14: y 127.6-148.0 -> 144.0-172.0; x 116.3-161.9 -> 115.2-161.9, narrowed 2026-09-14 to match its twin. the recorded x0 = 93.6 was a marker dot from the middle of panel J, mis-assigned by the same 4 mm y-band rule. L's ink is the two boxplots at x 116.3-138.4 and 139.8-161.9, one per source SVG (02_N, 02_O)."
Figure 2,M,"3.00,178.00,126.20,212.00",1,measured,v2 layout 2026-09-14: y 155.9-186.2 -> 178.0-212.0; x unchanged. 
Figure 2,N,"129.20,178.00,160.90,211.00",1,measured,v2 layout 2026-09-14: y 155.9-185.3 -> 178.0-211.0; x unchanged. 
Figure 3,A,"7.20,6.00,58.90,32.70",4,measured,"v2 layout 2026-09-14: y 5.7-28.8 -> 6.0-32.7; x 7.2-55.9 -> 7.2-58.9, narrowed 2026-09-14 to match its twin. "
Figure 3,D,"105.80,6.00,158.80,32.70",5,measured,"v2 layout 2026-09-14: y 5.8-28.7 -> 6.0-32.7; x 108.8-158.8 -> 105.8-158.8, narrowed 2026-09-14 to match its twin. "
