figure,printed_panel,sub_index,rect_mm,note
Figure 2,H,1,"97.10,64.70,132.20,106.00",v2 layout 2026-09-11: y scaled with its parent panel. one source SVG (02_G/mp45_horizontal_boxplot.svg) is printed as two lettered panels; each row is that letter's own printed footprint
Figure 2,I,1,"134.60,64.70,168.00,106.00",v2 layout 2026-09-11: y scaled with its parent panel. one source SVG (02_G/mp45_horizontal_boxplot.svg) is printed as two lettered panels; each row is that letter's own printed footprint
Figure 2,K,1,"115.20,110.50,140.50,141.00","v2 layout 2026-09-11: y scaled with its parent panel. two source SVGs (02_J ceacam6, 02_K ceacam5) under one printed letter; measured at dpi 200, closing radius 1.2 mm"
Figure 2,K,2,"141.10,110.50,161.90,141.00","v2 layout 2026-09-11: y scaled with its parent panel. two source SVGs (02_J ceacam6, 02_K ceacam5) under one printed letter; measured at dpi 200, closing radius 1.2 mm"
Figure 2,L,1,"115.20,144.27,140.50,172.00","v2 layout 2026-09-11: y scaled with its parent panel. two source SVGs (02_N ceacam6, 02_O ceacam5) under one printed letter; sub-box 1 carries the shared panel letter, which is fused to its y axis; measured at dpi 200, closing radius 0.6 mm"
Figure 2,L,2,"141.10,144.69,161.90,172.00","v2 layout 2026-09-11: y scaled with its parent panel. two source SVGs (02_N ceacam6, 02_O ceacam5) under one printed letter; sub-box 1 carries the shared panel letter, which is fused to its y axis; measured at dpi 200, closing radius 0.6 mm"
Figure 4,H,1,"139.00,154.94,163.70,182.12","v2 layout 2026-09-11: y scaled with its parent panel. two source SVGs (04_H linghua, 04_H kumar) stacked under one printed letter; measured at dpi 200, closing radius 1.2 mm"
Figure 4,H,2,"139.00,186.81,163.70,214.00","v2 layout 2026-09-11: y scaled with its parent panel. two source SVGs (04_H linghua, 04_H kumar) stacked under one printed letter; measured at dpi 200, closing radius 1.2 mm"
Figure 5,J,1,"3.20,133.05,25.50,165.00","v2 layout 2026-09-11: y scaled with its parent panel. four source SVGs (05_I MoMac, 05_J epithelial, 05_K fibroblast, 05_DC_CD274 DC) under one printed letter; measured at dpi 200, closing radius 0.9 mm"
Figure 5,J,2,"26.30,133.29,46.80,165.00","v2 layout 2026-09-11: y scaled with its parent panel. four source SVGs (05_I MoMac, 05_J epithelial, 05_K fibroblast, 05_DC_CD274 DC) under one printed letter; measured at dpi 200, closing radius 0.9 mm"
Figure 5,J,3,"47.60,133.29,68.10,165.00","v2 layout 2026-09-11: y scaled with its parent panel. four source SVGs (05_I MoMac, 05_J epithelial, 05_K fibroblast, 05_DC_CD274 DC) under one printed letter; measured at dpi 200, closing radius 0.9 mm"
Figure 5,J,4,"68.90,133.66,89.40,165.00","v2 layout 2026-09-11: y scaled with its parent panel. four source SVGs (05_I MoMac, 05_J epithelial, 05_K fibroblast, 05_DC_CD274 DC) under one printed letter; measured at dpi 200, closing radius 0.9 mm"
Figure 5,N,1,"3.60,172.16,36.80,204.00","v2 layout 2026-09-11: y scaled with its parent panel. four source SVGs (05_GSEA_Summary MoMac/epithelial/fibroblast/DC) plus the shared legend strip, all under one printed letter; measured at dpi 200, closing radius 0.9 mm"
Figure 5,N,2,"39.20,172.16,72.50,204.00","v2 layout 2026-09-11: y scaled with its parent panel. four source SVGs (05_GSEA_Summary MoMac/epithelial/fibroblast/DC) plus the shared legend strip, all under one printed letter; measured at dpi 200, closing radius 0.9 mm"
Figure 5,N,3,"74.90,172.16,108.20,204.00","v2 layout 2026-09-11: y scaled with its parent panel. four source SVGs (05_GSEA_Summary MoMac/epithelial/fibroblast/DC) plus the shared legend strip, all under one printed letter; measured at dpi 200, closing radius 0.9 mm"
Figure 5,N,4,"110.60,172.16,143.90,204.00","v2 layout 2026-09-11: y scaled with its parent panel. four source SVGs (05_GSEA_Summary MoMac/epithelial/fibroblast/DC) plus the shared legend strip, all under one printed letter; measured at dpi 200, closing radius 0.9 mm"
Figure 5,N,5,"146.80,173.58,158.80,204.00","v2 layout 2026-09-11: y scaled with its parent panel. four source SVGs (05_GSEA_Summary MoMac/epithelial/fibroblast/DC) plus the shared legend strip, all under one printed letter; measured at dpi 200, closing radius 0.9 mm"
