sample,group4,score
CA-0923,Post-R,-0.2680426760577201
CA-0929,Post-R,-0.0897691151870278
CA-1013,Post-R,0.037310967152203466
CA-1208,Post-NR,0.09591674265097304
G,Pre-NR,-0.026653528734978747
G0406,Pre-R,0.07379092084497396
G0427,Pre-R,-0.04281079507727556
G0511,Post-NR,-0.3202088150326024
G0626,Post-NR,-0.3424119878693783
G0807,Pre-NR,0.9865094486046776
G0830,Pre-NR,0.34411594740237783
G20240104,Post-NR,0.45843732727659964
GC,Post-R,-0.3500736961073729
G_0517,Pre-R,0.047184083832299974
G_0607,Pre-R,0.060146174175513635
T,Pre-NR,-0.4908657723337167
T0916,Post-R,-0.476508040960809
T_0528,Post-NR,1.2462259978891481
T_0707,Post-NR,0.6005486618581418
