sample,group4,fraction
P11-P2,Post-R,0.08771929824561403
P12-P2,Post-R,0.12015018773466833
P13-P2,Post-R,0.12418300653594772
P14-P2,Post-NR,0.18734177215189873
P02-P1,Pre-NR,0.1386913229018492
P21-P1,Pre-R,0.17127659574468085
P22-P1,Pre-R,0.1078838174273859
P23-P2,Post-NR,0.07629427792915532
P24-P2,Post-NR,0.034129692832764506
P25-P1,Pre-NR,0.41935483870967744
P26-P1,Pre-NR,0.23684210526315788
P34-P2,Post-NR,0.2509765625
P05-P2,Post-R,0.07637474541751528
P03-P1,Pre-R,0.19915254237288135
P04-P1,Pre-R,0.17035398230088494
P01-P1,Pre-NR,0.05154639175257732
P10-P2,Post-R,0.03543307086614173
P01-P2,Post-NR,0.5222028311033546
P06-P2,Post-NR,0.43931795386158473
