gene,pct_cells_detected,mean_expression,mean_in_expressing,rank
CEACAM5,33.27042683427146,0.7956836819648743,2.39156436920166,1
CEACAM6,32.607447035462855,0.7681688666343689,2.3558084964752197,2
CEACAM1,10.089108423453732,0.13238786160945892,1.3121858835220337,3
CEACAM7,3.173769630930305,0.055896908044815063,1.761215090751648,4
CEACAM19,1.2110868601998785,0.015493685379624367,1.2793207168579102,5
CEACAM16-AS1,0.7926218881795952,0.008836716413497925,1.114871621131897,6
CEACAM18,0.42338808933816896,0.005015429109334946,1.1845937967300415,7
CEACAM3,0.265848335165827,0.0036763499956578016,1.3828749656677246,8
CEACAM21,0.19036053629157984,0.0027677842881530523,1.4539694786071777,9
CEACAM4,0.10994962009944698,0.0017784896772354841,1.6175495386123657,10
CEACAM20,0.1001033854636756,0.0014811011496931314,1.4795714616775513,11
CEACAM16,0.06071844692059012,0.0008319091866724193,1.3701093196868896,12
CEACAMP5,0.024615586589428425,0.0002801350492518395,1.138039231300354,13
CEACAM22P,0.016410391059618952,0.00017492787446826696,1.0659581422805786,14
CEACAM8,0.00656415642384758,0.00011546672612894326,1.7590490579605103,15
CEACAMP2,0.004923117317885685,0.00011560088023543358,2.348123550415039,16
CEACAMP3,0.001641039105961895,3.2831452699610963e-05,2.00065016746521,17
CEACAMP6,0.001641039105961895,4.5653934648726135e-05,2.7820138931274414,18
CEACAMP11,0.0,0.0,0.0,19
CEACAMP1,0.0,0.0,0.0,20
CEACAMP10,0.0,0.0,0.0,21
CEACAMP4,0.0,0.0,0.0,22
CEACAMP7,0.0,0.0,0.0,23
CEACAMP8,0.0,0.0,0.0,24
CEACAMP9,0.0,0.0,0.0,25
