interaction,gene_a,gene_b,classification,sender,receiver,mean,p,significant
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,B cell,B cell,0.037,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,B cell,DC,0.041,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,B cell,Endothelial cell,0.066,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,B cell,Epithelial_CEACAM5_6_double,1.217,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,B cell,Epithelial_CEACAM5_only,0.0,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,B cell,Epithelial_CEACAM6_only,1.152,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,B cell,Epithelial_CEACAM_negative,0.0,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,B cell,Fibroblast,0.065,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,B cell,MoMac,0.053,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,B cell,Neutrophil,0.051,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,B cell,Pericyte,0.062,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,B cell,T & NK cell,0.064,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,DC,B cell,0.053,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,DC,DC,0.057,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,DC,Endothelial cell,0.082,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,DC,Epithelial_CEACAM5_6_double,1.233,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,DC,Epithelial_CEACAM5_only,0.0,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,DC,Epithelial_CEACAM6_only,1.168,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,DC,Epithelial_CEACAM_negative,0.0,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,DC,Fibroblast,0.081,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,DC,MoMac,0.07,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,DC,Neutrophil,0.067,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,DC,Pericyte,0.078,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,DC,T & NK cell,0.081,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Endothelial cell,B cell,0.039,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Endothelial cell,DC,0.043,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Endothelial cell,Endothelial cell,0.069,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Endothelial cell,Epithelial_CEACAM5_6_double,1.22,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Endothelial cell,Epithelial_CEACAM5_only,0.0,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Endothelial cell,Epithelial_CEACAM6_only,1.155,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Endothelial cell,Epithelial_CEACAM_negative,0.0,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Endothelial cell,Fibroblast,0.067,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Endothelial cell,MoMac,0.056,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Endothelial cell,Neutrophil,0.053,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Endothelial cell,Pericyte,0.065,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Endothelial cell,T & NK cell,0.067,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_6_double,B cell,0.162,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_6_double,DC,0.166,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_6_double,Endothelial cell,0.192,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_6_double,Epithelial_CEACAM5_6_double,1.342,0.0,True
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_6_double,Epithelial_CEACAM5_only,0.0,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_6_double,Epithelial_CEACAM6_only,1.277,0.0,True
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_6_double,Epithelial_CEACAM_negative,0.0,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_6_double,Fibroblast,0.19,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_6_double,MoMac,0.179,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_6_double,Neutrophil,0.176,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_6_double,Pericyte,0.187,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_6_double,T & NK cell,0.19,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_only,B cell,0.085,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_only,DC,0.089,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_only,Endothelial cell,0.115,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_only,Epithelial_CEACAM5_6_double,1.266,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_only,Epithelial_CEACAM5_only,0.0,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_only,Epithelial_CEACAM6_only,1.2,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_only,Epithelial_CEACAM_negative,0.0,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_only,Fibroblast,0.113,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_only,MoMac,0.102,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_only,Neutrophil,0.099,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_only,Pericyte,0.11,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM5_only,T & NK cell,0.113,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM6_only,B cell,0.091,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM6_only,DC,0.095,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM6_only,Endothelial cell,0.12,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM6_only,Epithelial_CEACAM5_6_double,1.271,0.0,True
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM6_only,Epithelial_CEACAM5_only,0.0,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM6_only,Epithelial_CEACAM6_only,1.206,0.0,True
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM6_only,Epithelial_CEACAM_negative,0.0,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM6_only,Fibroblast,0.119,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM6_only,MoMac,0.107,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM6_only,Neutrophil,0.105,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM6_only,Pericyte,0.116,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM6_only,T & NK cell,0.118,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM_negative,B cell,0.061,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM_negative,DC,0.065,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM_negative,Endothelial cell,0.09,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM_negative,Epithelial_CEACAM5_6_double,1.241,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM_negative,Epithelial_CEACAM5_only,0.0,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM_negative,Epithelial_CEACAM6_only,1.176,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM_negative,Epithelial_CEACAM_negative,0.0,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM_negative,Fibroblast,0.089,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM_negative,MoMac,0.077,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM_negative,Neutrophil,0.075,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM_negative,Pericyte,0.086,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Epithelial_CEACAM_negative,T & NK cell,0.088,1.0,False
CEACAM1_CEACAM6,CEACAM1,CEACAM6,Adhesion by CEAM,Fibroblast,B cell,0.037,1.0,False
