cell,phase,spec,formula,source,n_ref_cells,n_test_cells,n_genes_tested,n_samples,n_genes_fit,converged_C,converged_D,na_coefC,na_coefD,n_genes_returned,nfkb_nes,nfkb_nom_p,nfkb_fdr_q,nfkb_rank,n_sets,minutes,status
B_cells,post,A,~ condition + cngeneson,B_cells.h5ad,2849,616,1944,11,1944.0,1944.0,1944.0,0.0,0.0,1944,-1.3786750539762012,0.0,0.0371272306279691,38,38,3.61,ok
B_cells,post,A0,~ condition,B_cells.h5ad,2849,616,1944,11,1944.0,1944.0,1944.0,0.0,0.0,1944,-1.807170809117037,0.0,0.0045263498221791,38,38,1.55,ok
B_cells,post,B,~ condition + cngeneson + (1 | sample_id),B_cells.h5ad,2849,616,1944,11,1944.0,1943.0,1937.0,0.0,7.0,1937,-1.6650872162074415,0.0027247956403269,0.0129286339406476,37,38,15.94,ok
B_cells,post,T,Welch t-test,B_cells.h5ad,2849,616,1944,11,,,,,,1944,-1.2250325374702604,0.1993127147766323,1.0,38,38,0.18,ok
B_cells,post,dep,~ condition + sample_id + cngeneson,B_cells.h5ad,2849,616,1944,11,1944.0,1944.0,1944.0,0.0,0.0,1944,-1.7848125933218155,0.0,0.0042226071892594,38,38,8.78,ok
B_cells,pre,A,~ condition + cngeneson,B_cells.h5ad,775,2982,2745,8,2745.0,2745.0,2745.0,0.0,0.0,2745,-0.7288838644418377,0.9315789473684212,0.9453402366863906,25,40,4.19,ok
B_cells,pre,A0,~ condition,B_cells.h5ad,775,2982,2745,8,2745.0,2745.0,2745.0,0.0,0.0,2745,1.1142196623638885,0.3099762470308788,1.0,9,40,1.88,ok
B_cells,pre,B,~ condition + cngeneson + (1 | sample_id),B_cells.h5ad,775,2982,2745,8,2745.0,2744.0,2739.0,0.0,6.0,2739,-0.9629146515464746,0.5593434343434344,0.8528893002099951,24,40,15.14,ok
B_cells,pre,T,Welch t-test,B_cells.h5ad,775,2982,2745,8,,,,,,2745,1.1589297129599767,0.1891592920353982,0.6917693814076719,10,40,0.2,ok
B_cells,pre,dep,~ condition + sample_id + cngeneson,B_cells.h5ad,775,2982,2745,8,2745.0,2745.0,2745.0,0.0,0.0,2745,-1.7260128404410928,0.0,0.0191582506176585,40,40,5.9,ok
DC_cells,post,A,~ condition + cngeneson,DC_cells.h5ad,458,427,6391,11,6391.0,6391.0,6391.0,0.0,0.0,6391,1.4337425053773334,0.0622317596566523,0.7801961700140121,2,45,4.2,ok
DC_cells,post,A0,~ condition,DC_cells.h5ad,458,427,6391,11,6391.0,6391.0,6391.0,0.0,0.0,6391,1.3365901183137918,0.1083333333333333,1.0,2,45,2.92,ok
DC_cells,post,B,~ condition + cngeneson + (1 | sample_id),DC_cells.h5ad,458,427,6391,11,6391.0,6389.0,6380.0,1.0,11.0,6380,2.1350536016678188,0.0,0.0,1,45,22.96,ok
DC_cells,post,T,Welch t-test,DC_cells.h5ad,458,427,6391,11,,,,,,6391,1.6907379193871164,0.0,0.0517385645221271,2,45,0.14,ok
DC_cells,post,dep,~ condition + sample_id + cngeneson,DC_cells.h5ad,458,427,6391,11,6391.0,6391.0,6391.0,0.0,0.0,6391,-1.3089389567399798,0.0802469135802469,0.6226513667319712,41,45,9.94,ok
DC_cells,pre,A,~ condition + cngeneson,DC_cells.h5ad,354,329,6565,8,6565.0,6565.0,6565.0,1.0,0.0,6564,1.4774905100987088,0.0157068062827225,0.1639098338004816,5,47,3.99,ok
