cell,phase,spec_a,spec_b,n_genes,spearman_logFC,pearson_logFC,spearman_rankmetric,pct_same_sign_logFC
B_cells,pre,dep,A0,2745,0.13638616278276824,0.18686059450363487,0.11006646004516697,51.256830601092894
B_cells,pre,dep,A,2745,0.1575315956655693,0.22578513324578295,0.14334073093973823,54.134790528233154
B_cells,pre,dep,B,2739,0.3110695276035271,0.361114304668709,0.2990470904617199,60.533041255932815
B_cells,pre,dep,T,2745,0.1370434474493738,0.16564761731822172,0.13219846711808633,51.32969034608379
B_cells,pre,A0,A,2745,0.9407113136843438,0.9634004378528762,0.9208403129072311,77.1584699453552
B_cells,pre,A0,B,2739,0.7769965588230164,0.7822926807940973,0.7592349270298631,70.82876962395035
B_cells,pre,A0,T,2745,0.9505509124851911,0.8092657783255239,0.9669966062570701,99.9271402550091
B_cells,pre,A,B,2739,0.825260284075145,0.8140759004070168,0.826303441894566,88.2803943044907
B_cells,pre,A,T,2745,0.9507916128545738,0.8523063833628194,0.9609755568333962,77.0856102003643
B_cells,pre,B,T,2739,0.7860248052322724,0.7023634203816107,0.8009293749760154,70.90178897407813
B_cells,post,dep,A0,1944,0.3538817925004623,0.4446132204796709,0.3114228105198033,59.876543209876544
B_cells,post,dep,A,1944,0.31940604769982395,0.4351050857298896,0.3011987805659471,60.390946502057616
B_cells,post,dep,B,1937,0.30217290133406965,0.4300584586446381,0.28258481886589076,60.09292720702116
B_cells,post,dep,T,1944,0.30400648381438516,0.31838406840583167,0.31656970594769096,59.876543209876544
B_cells,post,A0,A,1944,0.9101713278270437,0.9401864106744883,0.892155916141696,73.35390946502058
B_cells,post,A0,B,1937,0.718423007950291,0.7797495912035932,0.7044188327157442,64.68766133195663
B_cells,post,A0,T,1944,0.9294806766072459,0.8543831999170033,0.9573646245751547,100.0
B_cells,post,A,B,1937,0.8028772371194034,0.8053752237823083,0.8090310504479362,83.73773877129582
B_cells,post,A,T,1944,0.923049000353419,0.8211182971128602,0.9420267689122863,73.35390946502058
B_cells,post,B,T,1937,0.7527983695158331,0.6869926744453085,0.7679373874915691,64.68766133195663
DC_cells,pre,dep,A0,6564,0.09004511485534548,0.10918017516780991,0.06192033416918015,55.19500304692261
DC_cells,pre,dep,A,6564,0.15335539434658735,0.16287206182273323,0.13908913849958476,56.12431444241316
DC_cells,pre,dep,B,6540,0.11193539591283244,0.12504705119480816,0.1175107081144219,54.908256880733944
DC_cells,pre,dep,T,6564,0.11123360789774414,0.0949829999302158,0.10463354226117053,55.134064594759295
DC_cells,pre,A0,A,6564,0.7389748911755071,0.7965820472816878,0.7389603242294865,71.28275441803778
DC_cells,pre,A0,B,6540,0.609643942132911,0.6308396107780032,0.619656490691748,66.68195718654434
DC_cells,pre,A0,T,6564,0.8300718602468453,0.7135620605379314,0.8892880827412298,99.84765386959171
DC_cells,pre,A,B,6540,0.8639230893172655,0.8567945558712002,0.8707188301582676,87.88990825688073
DC_cells,pre,A,T,6564,0.7988612424475285,0.7073380044638014,0.8174530995868606,71.13040828762949
DC_cells,pre,B,T,6540,0.6962611951573778,0.5641103080543485,0.7185609175382558,66.52905198776759
DC_cells,post,dep,A0,6391,0.22456314212198827,0.2981525160122862,0.23000320219436088,57.98779533719293
DC_cells,post,dep,A,6391,0.22481880206331925,0.2813810074669001,0.22607921795433902,57.98779533719293
DC_cells,post,dep,B,6380,0.28404878458770233,0.3608795695865583,0.292409330908271,59.71786833855799
DC_cells,post,dep,T,6391,0.25905535752324765,0.24847041996186256,0.25201507178655796,57.956501329995305
DC_cells,post,A0,A,6391,0.9648932730275288,0.9773416816496081,0.9639169877873356,89.23486152401814
DC_cells,post,A0,B,6380,0.9417223865633285,0.9413669188665146,0.9340555593247215,89.1692789968652
DC_cells,post,A0,T,6391,0.9413751132095929,0.7850771708921815,0.9787855531639709,99.93741198560475
