cell,phase,spec,formula,n_ref_cells,n_test_cells,n_samples,n_genes_tested,nfkb_nes,nfkb_nom_p,nfkb_fdr_q,nfkb_rank,n_sets
B_cells,post,A,~ condition + cngeneson,2849,616,11,1944,-1.3786750539762012,0.0,0.0371272306279691,38,38
B_cells,post,A0,~ condition,2849,616,11,1944,-1.807170809117037,0.0,0.0045263498221791,38,38
B_cells,post,B,~ condition + cngeneson + (1 | sample_id),2849,616,11,1944,-1.6650872162074415,0.0027247956403269,0.0129286339406476,37,38
B_cells,post,T,Welch t-test,2849,616,11,1944,-1.2250325374702604,0.1993127147766323,1.0,38,38
B_cells,post,dep,~ condition + sample_id + cngeneson,2849,616,11,1944,-1.7848125933218155,0.0,0.0042226071892594,38,38
B_cells,pre,A,~ condition + cngeneson,775,2982,8,2745,-0.7288838644418377,0.9315789473684212,0.9453402366863906,25,40
B_cells,pre,A0,~ condition,775,2982,8,2745,1.1142196623638885,0.3099762470308788,1.0,9,40
B_cells,pre,B,~ condition + cngeneson + (1 | sample_id),775,2982,8,2745,-0.9629146515464746,0.5593434343434344,0.8528893002099951,24,40
B_cells,pre,T,Welch t-test,775,2982,8,2745,1.1589297129599767,0.1891592920353982,0.6917693814076719,10,40
B_cells,pre,dep,~ condition + sample_id + cngeneson,775,2982,8,2745,-1.7260128404410928,0.0,0.0191582506176585,40,40
DC_cells,post,A,~ condition + cngeneson,458,427,11,6391,1.4337425053773334,0.0622317596566523,0.7801961700140121,2,45
DC_cells,post,A0,~ condition,458,427,11,6391,1.3365901183137918,0.1083333333333333,1.0,2,45
DC_cells,post,B,~ condition + cngeneson + (1 | sample_id),458,427,11,6391,2.1350536016678188,0.0,0.0,1,45
DC_cells,post,T,Welch t-test,458,427,11,6391,1.6907379193871164,0.0,0.0517385645221271,2,45
DC_cells,post,dep,~ condition + sample_id + cngeneson,458,427,11,6391,-1.3089389567399798,0.0802469135802469,0.6226513667319712,41,45
DC_cells,pre,A,~ condition + cngeneson,354,329,8,6565,1.4774905100987088,0.0157068062827225,0.1639098338004816,5,47
DC_cells,pre,A0,~ condition,354,329,8,6565,-0.8451082133339535,0.8707414829659319,0.951364536199095,8,47
