cell,phase,method,status,n_archive,n_here,n_common,max_abs_dlogFC,median_abs_dlogFC,max_abs_dlog10P,reproduces
B_cells,pre,mast,ok,2745.0,2745.0,2745.0,1.7416340587084487,0.1014029485827668,95.48877179131298,False
B_cells,pre,ttest,ok,2745.0,2745.0,2745.0,0.0,0.0,0.0,True
B_cells,post,mast,ok,1944.0,1944.0,1944.0,5.093148125467906e-15,4.0245584642661925e-16,4.659328478595626e-13,True
B_cells,post,ttest,ok,1944.0,1944.0,1944.0,0.0,0.0,0.0,True
DC_cells,pre,mast,ok,6564.0,6564.0,6564.0,1.5904482753949691,0.07252664762874911,40.26436073186195,False
DC_cells,pre,ttest,ok,6565.0,6565.0,6565.0,0.0,0.0,0.0,True
DC_cells,post,mast,ok,6391.0,6391.0,6391.0,9.992007221626409e-16,9.71445146547012e-17,1.2567724638756772e-13,True
DC_cells,post,ttest,ok,6391.0,6391.0,6391.0,0.0,0.0,0.0,True
Endothelial_cells,pre,mast,ok,6501.0,6501.0,6501.0,2.1792699079703466,0.0549418028346155,121.24547442866181,False
Endothelial_cells,pre,ttest,ok,6501.0,6501.0,6501.0,0.0,0.0,0.0,True
Endothelial_cells,post,mast,ok,5550.0,5550.0,5550.0,2.4980018054066022e-15,2.0122792321330962e-16,3.94996535479919e-13,True
Endothelial_cells,post,ttest,ok,5550.0,5550.0,5550.0,0.0,0.0,0.0,True
Epithelial,pre,mast,ok,4085.0,4085.0,4085.0,2.4174690214693184,0.0703979031911121,299.8481406009262,False
Epithelial,pre,ttest,ok,4085.0,4085.0,4085.0,0.0,0.0,0.0,True
Epithelial,post,mast,ok,3640.0,3640.0,3640.0,1.4210854715202004e-14,2.220446049250313e-16,3.161915174132446e-12,True
Epithelial,post,ttest,ok,3640.0,3640.0,3640.0,0.0,0.0,0.0,True
Fibroblast,pre,mast,ok,6801.0,6801.0,6801.0,1.738967274300271,0.053845461336958084,144.47604415621902,False
Fibroblast,pre,ttest,ok,6801.0,6801.0,6801.0,0.0,0.0,0.0,True
Fibroblast,post,mast,ok,6157.0,6157.0,6157.0,8.881784197001252e-16,8.326672684688674e-17,2.9665159217984183e-13,True
Fibroblast,post,ttest,ok,6157.0,6157.0,6157.0,0.0,0.0,0.0,True
Mast_cells,pre,mast,ok,2288.0,2288.0,2288.0,2.269007935498143,0.10316155734509477,45.82110339352293,False
Mast_cells,pre,ttest,ok,2288.0,2288.0,2288.0,0.0,0.0,0.0,True
Mast_cells,post,mast,ok,2270.0,2270.0,2270.0,1.1102230246251565e-15,1.1102230246251565e-16,1.4832579608992091e-13,True
Mast_cells,post,ttest,ok,2270.0,2270.0,2270.0,0.0,0.0,0.0,True
MoMac,pre,mast,ok,5868.0,5868.0,5868.0,1.7712191025278083,0.05511578451276711,292.40914088973545,False
MoMac,pre,ttest,ok,5868.0,5868.0,5868.0,0.0,0.0,0.0,True
MoMac,post,mast,ok,4693.0,4693.0,4693.0,4.191091917959966e-15,9.974659986866641e-17,8.144596108650148e-13,True
MoMac,post,ttest,ok,4693.0,4693.0,4693.0,0.0,0.0,0.0,True
Neutrophils,pre,mast,no archived table,,,,,,,
Neutrophils,pre,ttest,no archived table,,,,,,,
Neutrophils,post,mast,no archived table,,,,,,,
Neutrophils,post,ttest,no archived table,,,,,,,
NK_cells,pre,mast,ok,2308.0,2308.0,2308.0,2.098853795746321,0.11138161831576521,85.22343919888769,False
NK_cells,pre,ttest,ok,2308.0,2308.0,2308.0,0.0,0.0,0.0,True
NK_cells,post,mast,ok,2062.0,2062.0,2062.0,1.1102230246251565e-15,1.0061396160665481e-16,3.1530333899354446e-13,True
NK_cells,post,ttest,ok,2062.0,2062.0,2062.0,0.0,0.0,0.0,True
Pericyte,pre,mast,ok,6445.0,6445.0,6445.0,1.8389319296611775,0.0791310321416942,37.56179057620794,False
Pericyte,pre,ttest,ok,6445.0,6445.0,6445.0,0.0,0.0,0.0,True
Pericyte,post,mast,ok,6403.0,6403.0,6403.0,5.703770789011742e-15,1.942890293094024e-16,1.1366220464825716e-12,True
Pericyte,post,ttest,ok,6403.0,6403.0,6403.0,0.0,0.0,0.0,True
Plasma_cells,pre,mast,ok,3279.0,3279.0,3279.0,1.8413006859766168,0.0396901583101578,299.8922969307113,False
Plasma_cells,pre,ttest,ok,3279.0,3279.0,3279.0,0.0,0.0,0.0,True
Plasma_cells,post,mast,ok,2549.0,2549.0,2549.0,8.881784197001252e-16,0.0,3.9968028886505635e-13,True
Plasma_cells,post,ttest,ok,2549.0,2549.0,2549.0,0.0,0.0,0.0,True
TCD4_cells,pre,mast,ok,3376.0,3376.0,3376.0,2.199934959889233,0.08703383835633074,208.18126190649454,False
TCD4_cells,pre,ttest,ok,3376.0,3376.0,3376.0,0.0,0.0,0.0,True
TCD4_cells,post,mast,ok,2869.0,2869.0,2869.0,1.1102230246251565e-15,1.0061396160665481e-16,6.261657858885883e-13,True
TCD4_cells,post,ttest,ok,2869.0,2869.0,2869.0,0.0,0.0,0.0,True
TCD8_cells,pre,mast,ok,2646.0,2646.0,2646.0,2.2488240897442284,0.09557988863301806,163.277648091911,False
TCD8_cells,pre,ttest,ok,2646.0,2646.0,2646.0,0.0,0.0,0.0,True
TCD8_cells,post,mast,ok,2165.0,2165.0,2165.0,1.1102230246251565e-15,9.71445146547012e-17,2.993161274389422e-13,True
TCD8_cells,post,ttest,ok,2165.0,2165.0,2165.0,0.0,0.0,0.0,True
