cell,phase,n_samples,python_sorted_equals_R_factor_levels,n_positions_differing
B_cells,pre,8,False,6
B_cells,post,11,False,3
DC_cells,pre,8,False,6
DC_cells,post,11,False,3
Endothelial_cells,pre,8,False,6
Endothelial_cells,post,11,False,3
Epithelial,pre,8,False,6
Epithelial,post,11,False,3
Fibroblast,pre,8,False,6
Fibroblast,post,11,False,3
Mast_cells,pre,8,False,6
Mast_cells,post,11,False,3
MoMac,pre,8,False,6
MoMac,post,11,False,3
Neutrophils,pre,7,False,5
Neutrophils,post,11,False,3
NK_cells,pre,8,False,6
NK_cells,post,11,False,3
Pericyte,pre,8,False,6
Pericyte,post,11,False,3
Plasma_cells,pre,8,False,6
Plasma_cells,post,11,False,3
TCD4_cells,pre,8,False,6
TCD4_cells,post,11,False,3
TCD8_cells,pre,8,False,6
TCD8_cells,post,11,False,3
