cell,phase,status,n_cells,n_ref_cells,n_test_cells,n_samples,n_R_samples,n_NR_samples,n_samples_with_both_conditions,condition_constant_within_sample,min_cells_per_sample,median_cells_per_sample,max_cells_per_sample
B_cells,pre,ok,3757,775,2982,8,4,4,0,True,1,52,2701
B_cells,post,ok,3465,2849,616,11,5,6,0,True,6,117,2171
DC_cells,pre,ok,683,354,329,8,4,4,0,True,7,75,165
DC_cells,post,ok,885,458,427,11,5,6,0,True,10,51,269
Endothelial_cells,pre,ok,2818,983,1835,8,4,4,0,True,153,256,758
Endothelial_cells,post,ok,4142,1534,2608,11,5,6,0,True,18,320,903
Epithelial,pre,ok,37630,10752,26878,8,4,4,0,True,942,3729,13195
Epithelial,post,ok,29545,15180,14365,11,5,6,0,True,173,1437,9799
Fibroblast,pre,ok,1788,1109,679,8,4,4,0,True,25,218,439
Fibroblast,post,ok,2777,838,1939,11,5,6,0,True,26,240,554
Mast_cells,pre,ok,1179,380,799,8,4,4,0,True,28,123,387
Mast_cells,post,ok,1639,831,808,11,5,6,0,True,2,112,504
MoMac,pre,ok,4886,2110,2776,8,4,4,0,True,114,467,1406
MoMac,post,ok,11140,2512,8628,11,5,6,0,True,171,790,5157
Neutrophils,pre,ok,1253,983,270,7,3,4,0,True,14,35,511
Neutrophils,post,ok,5264,1981,3283,11,5,6,0,True,7,62,2936
NK_cells,pre,ok,1745,630,1115,8,4,4,0,True,18,176,532
NK_cells,post,ok,2087,636,1451,11,5,6,0,True,14,135,587
Pericyte,pre,ok,1201,526,675,8,4,4,0,True,13,124,440
Pericyte,post,ok,1841,297,1544,11,5,6,0,True,5,74,575
Plasma_cells,pre,ok,5887,3713,2174,8,4,4,0,True,16,498,2788
Plasma_cells,post,ok,3348,1659,1689,11,5,6,0,True,38,332,653
TCD4_cells,pre,ok,4688,1748,2940,8,4,4,0,True,50,429,1972
TCD4_cells,post,ok,6009,3528,2481,11,5,6,0,True,54,337,1479
TCD8_cells,pre,ok,3380,1330,2050,8,4,4,0,True,44,315,1322
TCD8_cells,post,ok,3408,1534,1874,11,5,6,0,True,96,308,510
