Signature,N_genes,Genes,Reference
"T cell exhaustion (Tex), 19-gene state score (Fig. 5K)",19,PDCD1; CTLA4; HAVCR2; LAG3; TIGIT; CD244; CD160; TOX; TOX2; EOMES; PRDM1; NR4A1; NR4A2; NR4A3; ENTPD1; CD38; CXCL13; LAYN; TNFRSF9,"Wherry & Kurachi, Nat Rev Immunol 2015"
"T cell exhaustion (Tex), 18-gene ssGSEA signature (Fig. 3E)",18,PDCD1; HAVCR2; LAG3; TIGIT; CTLA4; TOX; ENTPD1; CXCL13; LAYN; CD38; BATF; IRF4; PRDM1; TOX2; ITGAE; NR4A1; NR4A2; NR4A3,"Wherry & Kurachi, Nat Rev Immunol 2015; this study"
"T cell exhaustion (Tex), 10-gene composite score (Fig. S4D)",10,PDCD1; HAVCR2; LAG3; TIGIT; CTLA4; TOX; ENTPD1; LAYN; CXCL13; BATF,"Wherry & Kurachi, Nat Rev Immunol 2015; this study"
EMT (Mesenchymal),18,VIM; CDH2; FN1; SNAI1; SNAI2; ZEB1; ZEB2; TWIST1; SPARC; MMP2; SERPINE1; ACTA2; COL1A1; COL3A1; TAGLN; THY1; S100A4; LGALS1,Comprehensive EMT marker panel
EMT (Epithelial),13,CDH1; EPCAM; KRT8; KRT18; KRT19; CLDN1; CLDN3; CLDN4; CLDN7; OCLN; TJP1; DSP; PKP3,Comprehensive EMT marker panel
MDSC core,10,S100A8; S100A9; S100A12; VCAN; LYZ; ARG1; CYBB; IL1B; CD33; MNDA,"Veglia et al., Nat Rev Immunol 2021"
NF-kB (HALLMARK_TNFA_SIGNALING_VIA_NFKB),192,ABCA1; ACKR3; AREG; ATF3; ATP2B1; B4GALT1; B4GALT5; BCL2A1; BCL3; BCL6; BHLHE40; BIRC2; BIRC3; BMP2; BTG1; BTG2; BTG3; CCL2; CCL20; CCL4; CCL5; CCND1; CCNL1; CCR7; CCRL2; CD44; CD69; CD80; CD83; CDKN1A; CEBPB; CEBPD; CFLAR; CLCF1; CSF1; CSF2; CXCL1; CXCL10; CXCL11; CXCL2; CXCL3; CXCL6; CXCL8; DENND5A; DUSP1; DUSP2; DUSP4; DUSP5; EDN1; EFNA1; EGR1; EGR2; EGR3; EHD1; EIF1; ETS2; F2RL1; F3; FJX1; FOS; FOSB; FOSL1; FOSL2; FUT4; G0S2; GADD45A; GADD45B; GCH1; GEM; GFPT2; GPR183; HBEGF; HES1; ICAM1; ICOSLG; ID2; IER2; IER3; IER5; IFIH1; IFNGR2; IL12B; IL15RA; IL18; IL1A; IL1B; IL23A; IL6; IL6ST; IL7R; INHBA; IRF1; IRS2; JAG1; JUN; JUNB; KDM6B; KLF10; KLF2; KLF4; KLF6; KLF9; KYNU; LAMB3; LIF; LITAF; MAFF; MAP2K3; MAP3K8; MARCKS; MCL1; MSC; MXD1; MYC; NAMPT; NFAT5; NFE2L2; NFIL3; NFKB1; NFKB2; NFKBIA; NFKBIE; NIN; NR4A1; NR4A2; NR4A3; OLR1; PANX1; PDE4B; PDLIM5; PER1; PFKFB3; PHLDA1; PHLDA2; PIK3R1; PLAU; PLAUR; PLEK; PLK2; PLPP3; PMEPA1; PNRC1; PPP1R15A; PTGER4; PTGS2; PTX3; RCAN1; REL; RELA; RELB; RHOB; RIPK2; RNF19B; SAT1; SDC4; SERPINB2; SERPINB8; SERPINE1; SGK1; SIK1; SLC16A6; SLC2A3; SLC2A6; SMAD3; SNN; SOCS3; SOD2; SPHK1; SQSTM1; TANK; TGIF1; TIPARP; TLR2; TNC; TNF; TNFAIP2; TNFAIP3; TNFAIP6; TNFAIP8; TNFRSF9; TNFSF9; TNIP1; TNIP2; TRAF1; TRIB1; TRIP10; TSC22D1; TUBB2A; VEGFA; YRDC; ZC3H12A; ZFP36,MSigDB Hallmark gene sets
Th17 cell state,28,IL17A; IL17F; RORC; CCR6; IL23R; IL22; IL26; IL21; BATF; IRF4; STAT3; AHR; RORA; IL1R1; IL6R; TGFBR2; CCL20; CSF2; IFNG; TNF; IL2; CTLA4; ICOS; CD44; IL4I1; LGALS3; CXCR3; KLRB1,"Knochelmann et al., Front Immunol 2018"
IL-6/JAK/STAT3 Signaling (HALLMARK_IL6_JAK_STAT3_SIGNALING),87,INHBE; IL17RA; IRF9; IL17RB; MAP3K8; CCR1; FAS; CXCL3; A2M; CD38; SOCS3; TYK2; GRB2; CXCL13; TNFRSF1B; CXCL1; CBL; PF4; CSF1; IFNGR1; HMOX1; TNF; HAX1; IL12RB1; CSF2; IL2RG; JUN; ITGA4; IL18R1; IL6; MYD88; CXCL11; LEPR; LTB; PDGFC; PTPN11; IFNAR1; DNTT; IL1B; SOCS1; TNFRSF12A; PIK3R5; IL2RA; CSF2RA; STAT3; IL13RA1; BAK1; TLR2; CRLF2; CXCL9; PIM1; TNFRSF21; PTPN2; OSMR; CSF3R; IL4R; IL6ST; STAM2; CSF2RB; EBI3; STAT2; TNFRSF1A; IL1R2; STAT1; CCL7; CD14; TGFB1; IRF1; IL3RA; IL10RB; IL1R1; CD44; ITGB3; ACVRL1; CXCL10; IL15RA; CNTFR; PLA2G2A; ACVR1B; IL9R; LTBR; CD9; IFNGR2; PTPN1; CD36; REG1A; IL7,MSigDB Hallmark gene sets
Inflammatory Response (HALLMARK_INFLAMMATORY_RESPONSE),200,ABCA1; ABI1; ACVR1B; ACVR2A; ADGRE1; ADM; ADORA2B; ADRM1; AHR; APLNR; AQP9; ATP2A2; ATP2B1; ATP2C1; AXL; BDKRB1; BEST1; BST2; BTG2; C3AR1; C5AR1; CALCRL; CCL17; CCL2; CCL20; CCL22; CCL24; CCL5; CCL7; CCR7; CCRL2; CD14; CD40; CD48; CD55; CD69; CD70; CD82; CDKN1A; CHST2; CLEC5A; CMKLR1; CSF1; CSF3; CSF3R; CX3CL1; CXCL10; CXCL11; CXCL6; CXCL8; CXCL9; CXCR6; CYBB; DCBLD2; EBI3; EDN1; EIF2AK2; EMP3; EREG; F3; FFAR2; FPR1; FZD5; GABBR1; GCH1; GNA15; GNAI3; GP1BA; GPC3; GPR132; GPR183; HAS2; HBEGF; HIF1A; HPN; HRH1; ICAM1; ICAM4; ICOSLG; IFITM1; IFNAR1; IFNGR2; IL10; IL10RA; IL12B; IL15; IL15RA; IL18; IL18R1; IL18RAP; IL1A; IL1B; IL1R1; IL2RB; IL4R; IL6; IL7R; INHBA; IRAK2; IRF1; IRF7; ITGA5; ITGB3; ITGB8; KCNA3; KCNJ2; KCNMB2; KIF1B; KLF6; LAMP3; LCK; LCP2; LDLR; LIF; LPAR1; LTA; LY6E; LYN; MARCO; MEFV; MEP1A; MET; MMP14; MSR1; MXD1; MYC; NAMPT; NDP; NFKB1; NFKBIA; NLRP3; NMI; NMUR1; NOD2; NPFFR2; OLR1; OPRK1; OSM; OSMR; P2RX4; P2RX7; P2RY2; PCDH7; PDE4B; PDPN; PIK3R5; PLAUR; PROK2; PSEN1; PTAFR; PTGER2; PTGER4; PTGIR; PTPRE; PVR; RAF1; RASGRP1; RELA; RGS1; RGS16; RHOG; RIPK2; RNF144B; ROS1; RTP4; SCARF1; SCN1B; SELE; SELENOS; SELL; SEMA4D; SERPINE1; SGMS2; SLAMF1; SLC11A2; SLC1A2; SLC28A2; SLC31A1; SLC31A2; SLC4A4; SLC7A1; SLC7A2; SPHK1; SRI; STAB1; TACR1; TACR3; TAPBP; TIMP1; TLR1; TLR2; TLR3; TNFAIP6; TNFRSF1B; TNFRSF9; TNFSF10; TNFSF15; TNFSF9; TPBG; VIP,MSigDB Hallmark gene sets
