Figure panel,Comparison,Hypothesis family,Test,Group 1,n (group 1),Group 2,n (group 2),Mean (group 1),Mean (group 2),"P, one-tailed (as submitted)","P, two-tailed (revised)","P, two-tailed, BH within family",Effect size measure,Effect size,Hedges g,Hedges g 95% CI lower,Hedges g 95% CI upper,Difference of means,Difference 95% CI lower,Difference 95% CI upper,Robustness under two-sided testing
Fig 2K left (CEACAM6),"CEACAM6 expression, pre-treatment epithelium",CEACAM,Mann-Whitney U,NR,4,R,4,1.1097770929336548,0.3502686247229576,0.0285714285714285,0.0571428571428571,0.0945015291998337,rank-biserial r,0.875,1.3305506711744373,0.4580911351409518,4.808907024943236,0.7595084682106972,0.1795840635895729,1.3646650724112988,"Weakened: not significant two-sided, but CI excludes zero"
Fig 2K right (CEACAM5),"CEACAM5 expression, pre-treatment epithelium",CEACAM,Mann-Whitney U,NR,4,R,4,1.140523798763752,0.3664222378283739,0.0571428571428571,0.1142857142857142,0.1523809523809523,rank-biserial r,0.75,1.6359238894010473,0.6491464252104929,8.060207968725416,0.7741015609353781,0.2479033377021551,1.2349002475384612,Not significant either way
Fig 2L left (CEACAM6),"CEACAM6 expression, PRJEB25780 deconvolved epithelium",CEACAM,Mann-Whitney U,NR,33,R,12,4.660712740544736,2.976291811659616,0.027912770395385,0.05582554079077,0.0945015291998337,rank-biserial r,0.3787878787878789,0.6603232850403064,0.0672634018873809,1.367403072786739,1.6844209288851202,0.167318305141923,3.15590145466324,"Weakened: not significant two-sided, but CI excludes zero"
Fig 2L right (CEACAM5),"CEACAM5 expression, PRJEB25780 deconvolved epithelium",CEACAM,Mann-Whitney U,NR,33,R,12,5.138742212466492,3.2826623899312537,0.029531727874948,0.059063455749896,0.0945015291998337,rank-biserial r,0.3737373737373737,0.6260140867752285,0.0550155332409414,1.3377322322979264,1.8560798225352384,0.1010346392763751,3.609689500247362,"Weakened: not significant two-sided, but CI excludes zero"
Fig 2N,"IHC staining, CEACAM5 + CEACAM6 summed",CEACAM,Mann-Whitney U,NR,4,R,4,83.16101786503309,55.29680966658124,0.0285714285714285,0.0571428571428571,0.0945015291998337,rank-biserial r,0.875,1.7843637957188316,0.7303240540662351,8.118743528729842,27.86420819845185,10.912079474841292,42.11921926527935,"Weakened: not significant two-sided, but CI excludes zero"
Fig S7C (CEACAM5),"IHC staining, CEACAM5 only",CEACAM,Mann-Whitney U,NR,4,R,4,35.0382902978412,14.706083101060432,0.1,0.2,0.2,rank-biserial r,0.625,1.4046113997283152,0.3309820348488607,6.792966225400871,20.332207196780768,3.955488437871381,34.18731157082305,Not significant either way
Fig S7C (CEACAM6),"IHC staining, CEACAM6 only",CEACAM,Mann-Whitney U,NR,4,R,4,48.12272756719189,40.59072656552081,0.1,0.2,0.2,rank-biserial r,0.625,0.6350308663868843,-0.4464626043206036,4.284427536950901,7.532001001671077,-4.863107953064714,19.23729422723629,Not significant either way
Fig S2D,"CEACAM5/6+ proportion, tumor-content adjusted (Fig. S2D)",CEACAM,Mann-Whitney U,NR,4,R,4,3.6165488541364414,-3.6165488541364414,0.0285714285714285,0.0571428571428571,0.0945015291998337,rank-biserial r,0.875,1.5355347102276138,0.731529320991632,5.081837148511309,7.233097708272884,2.314009097945866,12.088226392354043,"Weakened: not significant two-sided, but CI excludes zero"
Fig 5L,"IL-6/JAK/STAT3 module score, post-treatment CD4+ T cells",Cytokine,Mann-Whitney U,NR,6,R,5,0.1750471541348803,0.1384042421753953,0.0151515151515151,0.0303030303030303,0.0303030303030303,rank-biserial r,0.8,1.527166429441025,0.5606571314115157,4.216371010120121,0.036642911959485,0.0130350455635025,0.0588121329506937,Robust: significant two-sided
Fig 2H,"S-MP4 score, pre-treatment R vs all other groups",Metaprogram,Exact permutation (3876 permutations),Pre-R,4,All others,15,0.3916006609797477,0.5187737325827281,0.0245098039215686,0.0828173374613003,0.1656346749226006,difference in means,-0.1271730716029803,-0.9624067637027024,-1.8971561859874229,-0.2944173670088868,-0.1271730716029803,-0.2155676419908801,-0.0330135998378198,"Weakened: not significant two-sided, but CI excludes zero"
