Measure,Data level,n non-responders,n responders,"Mean, non-responders","Mean, responders","P, two-tailed",Rank-biserial correlation
CEACAM5+ only,cell state fraction,4,4,0.1511596135197566,0.0974106553225484,0.3428571428571428,0.5
CEACAM6+ only,cell state fraction,4,4,0.13596478859365,0.0911851105054143,0.3428571428571428,0.5
Double positive,cell state fraction,4,4,0.3102250587359331,0.0889978857686291,0.0571428571428571,0.875
Double negative,cell state fraction,4,4,0.40265053915066,0.7224063484034081,0.0571428571428571,-0.875
Either marker (union),cell state fraction,4,4,0.5973494608493398,0.2775936515965919,0.0571428571428571,0.875
CEACAM5,IHC staining percent,4,4,35.0382902978412,14.706083101060432,0.2,0.625
CEACAM6,IHC staining percent,4,4,48.12272756719189,40.59072656552081,0.2,0.625
Summed (published),IHC staining percent,4,4,83.16101786503309,55.29680966658124,0.0571428571428571,0.875
Mean of the two,IHC staining percent,4,4,41.580508932516544,27.64840483329062,0.0571428571428571,0.875
z-score composite,IHC staining percent,4,4,0.5006988407599623,-0.5006988407599616,0.2,0.625
