Cell type,Timepoint,n samples,n responders,n non-responders,n cells,Median cells per sample,Samples dropped (fewer than 10 cells),limma-voom NES,limma-voom nominal P,limma-voom FDR q,limma-voom rank,limma-voom Hallmark sets tested,DESeq2 NES,DESeq2 nominal P,DESeq2 FDR q,DESeq2 rank,DESeq2 Hallmark sets tested,Per-cell NES (primary analysis; Fig. S10C),Per-cell nominal P,Per-cell FDR q,Per-cell rank,Per-cell Hallmark sets tested
B cells,Pre-treatment,6,3,3,3757,143.5,2,0.944,0.4676,0.8296,15,41,-0.815,0.807,0.8875,24,41,1.159,0.1892,0.6918,10,40
B cells,Post-treatment,9,4,5,3465,167.0,2,1.322,0.0857,0.2499,11,44,1.138,0.1996,0.3959,14,44,-1.225,0.1993,1.0,38,38
DC,Pre-treatment,7,4,3,683,81.0,1,1.661,0.0,0.0865,2,48,1.861,0.0,0.0,1,48,-0.759,0.9447,1.0,5,47
DC,Post-treatment,11,5,6,885,51.0,0,2.033,0.0,0.0,1,42,1.975,0.0,0.0,1,42,1.691,0.0,0.0517,2,45
Endothelial,Pre-treatment,8,4,4,2818,256.5,0,2.08,0.0,0.0,1,49,2.113,0.0,0.0,1,49,2.007,0.0,0.0,1,48
Endothelial,Post-treatment,11,5,6,4142,320.0,0,1.644,0.0,0.0413,3,49,1.849,0.0,0.0044,1,49,1.246,0.1788,1.0,2,46
Epithelial,Pre-treatment,8,4,4,37630,3729.5,0,-0.826,0.8967,0.9015,25,50,1.234,0.0945,0.2721,15,50,-0.919,0.6241,0.7923,28,43
Epithelial,Post-treatment,11,5,6,29545,1437.0,0,2.013,0.0,0.0,2,50,1.954,0.0,0.0,1,50,1.9,0.0,0.0,1,42
Fibroblast,Pre-treatment,8,4,4,1788,218.0,0,0.728,0.8736,1.0,26,49,1.738,0.0,0.0007,3,49,-1.25,0.017,0.9324,47,49
Fibroblast,Post-treatment,11,5,6,2777,240.0,0,2.294,0.0,0.0,1,49,2.111,0.0,0.0,1,49,1.602,0.0,0.0,1,49
Mast,Pre-treatment,8,4,4,1179,123.5,0,-1.134,0.1996,0.7156,37,43,-1.229,0.1061,0.5282,41,43,-1.514,0.0,0.0124,40,40
Mast,Post-treatment,9,5,4,1639,195.0,2,1.844,0.0,0.0014,1,42,1.882,0.0,0.0014,1,42,1.375,0.0196,0.5033,3,40
MoMac,Pre-treatment,8,4,4,4886,467.0,0,1.228,0.1224,0.4976,12,49,1.676,0.0,0.0313,4,49,-1.001,0.5116,0.8925,21,45
MoMac,Post-treatment,11,5,6,11140,790.0,0,2.41,0.0,0.0,1,49,1.943,0.0,0.0,2,49,2.228,0.0,0.0,1,43
Neutrophils,Pre-treatment,7,3,4,1253,35.0,0,-1.66,0.0093,0.106,16,16,1.106,0.3008,0.7395,6,16,-1.252,0.037,1.0,34,34
Neutrophils,Post-treatment,10,5,5,5264,119.0,1,1.387,0.0187,0.2067,6,36,1.143,0.2358,0.5134,13,36,1.317,0.0512,0.2461,7,26
NK,Pre-treatment,8,4,4,1745,176.0,0,1.246,0.1117,0.4866,9,43,1.418,0.0244,0.1922,7,43,1.697,0.0,0.0474,1,39
NK,Post-treatment,11,5,6,2087,135.0,0,0.959,0.5438,0.7939,18,41,0.95,0.5386,0.8488,20,41,1.159,0.2211,0.925,9,39
Pericyte,Pre-treatment,8,4,4,1201,124.5,0,-1.577,0.0,0.0524,46,49,-1.133,0.1965,0.4831,36,49,-1.337,0.0,0.0728,45,49
Pericyte,Post-treatment,10,4,6,1841,97.0,1,0.865,0.8691,0.8645,23,49,1.638,0.0018,0.0217,3,49,0.91,0.6399,0.808,30,49
Plasma,Pre-treatment,8,4,4,5887,498.0,0,1.61,0.0089,0.3096,2,46,1.492,0.0408,1.0,1,46,-1.201,0.2181,1.0,38,41
Plasma,Post-treatment,11,5,6,3348,332.0,0,2.004,0.0,0.0,3,45,1.91,0.0123,0.1487,2,45,1.386,0.0025,0.2022,3,41
CD4+ T,Pre-treatment,8,4,4,4688,429.5,0,-1.144,0.1868,0.6497,41,47,-1.184,0.1016,0.5312,44,47,1.749,0.0,0.0709,1,41
CD4+ T,Post-treatment,11,5,6,6009,337.0,0,1.582,0.0,0.0161,8,47,1.636,0.0,0.0119,6,47,1.169,0.2201,0.8018,10,39
CD8+ T,Pre-treatment,8,4,4,3380,315.0,0,1.163,0.2888,0.6864,12,44,0.937,0.5801,0.7224,27,44,1.693,0.006,0.0156,1,39
CD8+ T,Post-treatment,11,5,6,3408,308.0,0,1.41,0.0145,0.0588,16,46,1.396,0.0304,0.0961,13,46,1.126,0.2895,1.0,9,38
