Comparison,Scenario,n (NR),n (R),Mean (NR),Mean (R),"P, two-sided",Rank-biserial r
"scRNA CEACAM5/6 double-positive epithelial fraction (Fig. 2E, Fig. S8B)",as published,4,4,0.3102,0.089,0.0571,0.875
"scRNA CEACAM5/6 double-positive epithelial fraction (Fig. 2E, Fig. S8B)",P26 reclassified as responder,3,5,0.242,0.1742,0.3929,0.467
"scRNA CEACAM5/6 double-positive epithelial fraction (Fig. 2E, Fig. S8B)",P02 excluded (no evaluable response),3,4,0.3838,0.089,0.0571,1.0
"scRNA CEACAM5/6 double-positive epithelial fraction (Fig. 2E, Fig. S8B)",P26 reclassified and P02 excluded,2,5,0.3182,0.1742,0.381,0.6
"IHC CEACAM5 + CEACAM6, summed (Fig. 2N)",as published,4,4,83.161,55.2968,0.0571,0.875
"IHC CEACAM5 + CEACAM6, summed (Fig. 2N)",P26 reclassified as responder,3,5,83.3572,60.7519,0.1429,0.733
"IHC CEACAM5 + CEACAM6, summed (Fig. 2N)",P02 excluded (no evaluable response),3,4,86.4982,55.2968,0.0571,1.0
"IHC CEACAM5 + CEACAM6, summed (Fig. 2N)",P26 reclassified and P02 excluded,2,5,88.4612,60.7519,0.0952,1.0
IHC CEACAM5 alone (Fig. S8C),as published,4,4,35.0383,14.7061,0.2,0.625
IHC CEACAM5 alone (Fig. S8C),P26 reclassified as responder,3,5,34.4911,19.1008,0.3929,0.467
IHC CEACAM5 alone (Fig. S8C),P02 excluded (no evaluable response),3,4,42.5092,14.7061,0.0571,1.0
IHC CEACAM5 alone (Fig. S8C),P26 reclassified and P02 excluded,2,5,45.4239,19.1008,0.0952,1.0
IHC CEACAM6 alone (Fig. S8C),as published,4,4,48.1227,40.5907,0.2,0.625
IHC CEACAM6 alone (Fig. S8C),P26 reclassified as responder,3,5,48.8661,41.6511,0.3929,0.467
IHC CEACAM6 alone (Fig. S8C),P02 excluded (no evaluable response),3,4,43.989,40.5907,0.4,0.5
IHC CEACAM6 alone (Fig. S8C),P26 reclassified and P02 excluded,2,5,43.0372,41.6511,0.8571,0.2
